n;a(n);b(n);c(n);d(n);Invariant of a(n);Invariant of b(n);Invariant of c(n);Invariant of d(n)
0;678,034181620694;n. def.;413,866994581077;n. def.;n. def.;n. def.;n. def.;n. def.
1;-209,716266132651;-23,5294055297999;-9,94481150458214;84,8544888405798;1;0;-5,05047138144767E-17;-0,404837993491622
2;-0,018407900721053;0,0205123426494901;-0,569840611194341;0,932253193626735;6,7716797129469E-05;-0,00012571023250522;0,00166349889091015;-0,00490263092300053
3;-18,4306681087457;-6,3725859857545;-3,22329775703932;8,54188226405621;0,0924114557552579;-4,71541248626307E-05;0,00101394779388599;-0,0432449337671672
4;-0,0682833419897289;0,0607506762235674;-0,095689029636368;-0,467773116825198;0,000172168498291859;-0,000394466804396284;0,00135948292391144;0,00180914544921055
5;-4,66755822273092;-2,81933339539269;-3,17463026947155;4,74188747484868;0,0258402625761656;-0,000334127402769186;0,000915420500532671;-0,0270223090588072
6;-0,138410795096059;-0,0194617366356083;0,108238619499262;-0,100063552964372;0,000572900013264179;-0,000330245500608789;-0,000112691589239003;0,000690358757396506
7;-1,15051713040777;-1,04506773311128;-2,29388663434216;2,37562989292014;0,00735963009559218;-0,000316645848867568;-0,000133942558196564;-0,0156473981379167
8;-0,108408159718134;-0,0875361370063616;0,113520941169429;-0,0311754749320896;0,000645653132900204;-0,000134359908602695;-0,000227324672085875;0,000510436701402574
9;-0,16092163022572;-0,156985047712754;-1,09796186016631;0,643696648908578;0,00103934229593304;-0,000250867393550067;0,000260898072140662;-0,00602467222535612
10;-0,0710794189414441;-0,0950600480733584;-0,0988516422590011;0,0936382266621227;0,00055302906643641;-0,000101542916582917;-0,000188996536177289;-0,000617073566114034
11;-0,0373987717867504;0,135949637062777;0,0107271590604882;-0,0970828843088952;-0,00054245570639528;-0,000388194824666302;0,000415515577035242;0,00020742801056091
12;-0,0221145830901006;-0,0729591886745033;-0,0202364210804299;0,113416818935187;0,000359563413084911;-1,95401084887704E-05;-0,000499733077970977;-0,000221676661608484
13;-0,0485206329152164;0,128104516783049;0,318403421570432;0,0102925715191967;-0,000572417750735699;-0,000303625169904847;-0,000243922547997948;0,00149024417301152
14;0,0312858481325672;-0,0847866909850083;0,0336293502869738;0,115490549247122;0,000397387121428517;0,000156665384830592;-0,000551313422974406;0,000147930003114649
15;-0,0629766686032219;0,0614754842448121;0,288408333641772;-0,0698693422131307;-0,000316034923097362;-0,00026765083743313;0,000454163247368375;0,00133172554405744
16;0,0562054871577772;-0,0830148449831303;0,0206314221835651;-0,00953259090403903;0,000438850108872628;0,000182474495492664;6,27648238458285E-05;8,63169706120985E-05
17;-0,0733067279528835;0,0173295088346713;0,023889356340576;-0,00115455648074162;-0,000184731956987597;-0,000305112480465829;4,0412974377023E-05;0,000106781422411335
18;0,0734766994017377;-0,0683739115291519;-0,0015183957008417;0,053295646383791;0,0004377904146532;0,000184761124635448;-0,000234297613474687;9,6646200857047E-05
19;-0,0654835560832623;0,021514664922072;-0,0805516345956181;-0,0225839939841662;-0,000245864888009332;-0,000216206065380802;-0,000101447338750985;-0,000382548370115656
20;0,0886359218800689;-0,0508665423515731;0,0277839652952776;-0,0176159524877151;0,000445360501020544;0,000191104245893099;0,000144761402301857;5,46485575842703E-05
21;-0,0637946951805452;0,0165810900046306;-0,0442922500730375;-0,0411199518710723;-0,000264418353489948;-0,000166944315797748;-1,34904285862327E-06;-0,000285982809362259
22;0,0783506793445132;-0,0447087448973419;0,0260606374106292;-0,0187272818815354;0,000420429790082457;7,92081336860536E-05;0,000150556827474037;1,22269707854408E-05
23;-0,0678271215440575;0,0165103005018308;-0,0678173818125801;-0,0455769931869845;-0,000310476172217243;-0,000115932743331766;-0,000144667556706108;-0,000358571798161401
24;0,0908992527875457;-0,0324539297034667;0,0119997106276797;0,0751499466781279;0,000452589060545706;6,4817825715512E-05;-0,000116223675353042;0,000341587327296923
25;-0,0819508156119885;0,0238828906810586;-0,0318990078789458;-0,0358983591394692;-0,00040307430906565;-3,64553677368468E-05;-7,79045464800282E-05;-0,000213373063424837
26;0,105795556558325;-0,0247895841408604;0,0558952847857566;0,0215862958764593;0,000515190940029829;1,66857536880535E-05;0,000228135600861198;0,000167315977793733
27;-0,0901627114216655;0,00946501179762983;0,0173554521322592;-0,00613582637356839;-0,000428923872314397;-1,99832499818476E-05;8,67047142381033E-05;-1,63223773367617E-05
28;0,100624639817093;-0,0200800804071479;0,0209396009622298;-0,00318221960273405;0,000480501970653817;-7,59019009067397E-05;9,86028014731324E-05;-1,08904515393423E-05
29;-0,0870098173055322;-0,00753235094156131;-0,0187512283281038;-0,00414540283392197;-0,000414009074383829;-6,59824111926333E-06;-8,90280144757617E-05;-1,33210561518519E-05
30;0,089426453945846;-0,00289831881192313;0,000993530723316751;-0,000115351799649529;0,000414349267961002;-8,98971534136895E-05;3,54179635005394E-06;-1,17139491502118E-06
