n;a(n);b(n);c(n);d(n);Invariant of a(n);Invariant of b(n);Invariant of c(n);Invariant of d(n)
0;782,291847868775;n. def.;235,55975748568;n. def.;n. def.;n. def.;n. def.;n. def.
1;-283,145464731851;-25,9258190400413;-8,31909197600253;88,565751458853;1;6,24751809664206E-17;-1,87425542899262E-17;-0,312859466622682
2;-0,0296892314469295;-0,0242421772961179;0,16898170689946;-0,183894355131307;0,00011775206612745;6,55457469855689E-05;-0,000467452533041049;0,000743648528966684
3;-26,3314649002206;-7,37438662876707;-4,66905870247454;16,1770167953826;0,096172427820695;-5,76968105131498E-05;0,000385011167995031;-0,0592157550205874
4;-0,0274107569599469;0,0108566372264828;-0,196636756396458;-0,0111166821651816;7,70167115112035E-05;-7,01904053932419E-05;0,00066007860677745;-0,000209762775854074
5;-6,67789425930054;-3,25722458345066;-4,33600047441115;8,92907443200024;0,0261312154502055;-6,66230651897727E-05;-0,000133207478041855;-0,0349105893459224
6;-0,029671442718533;0,0405204779471627;-0,0322442543447851;0,00936368316519258;1,51881405915717E-05;-0,000176056901162858;7,97746762116944E-05;-8,6914847296714E-05
7;-1,82685019934963;-1,3535948660286;-2,83702218191421;3,82352190033918;0,00799661836017678;-1,12301742873488E-05;9,83494034355813E-06;-0,0167449460215072
8;-0,0394229936519362;0,0332806873220618;0,0062131238493016;-0,0372640386869914;2,5602378909363E-05;-0,000179553976172792;7,09193125018277E-05;0,000112491622519619
9;-0,418425658641687;-0,435845108545303;-1,1058719762558;0,943589087905872;0,00212493388310388;-3,32739139486056E-05;0,000227900198951227;-0,00510762050149322
10;-0,0398791468266015;0,0275448760392221;-0,0614688101257127;-0,010635209716723;9,63714827349723E-06;-0,000170316038384133;0,000162127567105087;-0,000147674060920593
11;-0,0614166066586171;-0,0795931956856294;0,233190442139954;-0,0982270122236001;0,000352090604678611;-3,03621079780731E-05;-0,000151308090557879;0,0008770487933368
12;-0,0291398721198401;0,0230408995341505;-0,0105077946704616;0,0145121624590368;-2,4813434479006E-05;-0,000128325295304634;-2,82907266568177E-05;-5,61923457032786E-05
13;-0,00713993254672064;-0,0102170166096414;0,560806535997977;-0,208533043868921;4,2701164832432E-05;-7,97633276370472E-06;-6,54452311070604E-05;0,00210331507022681
14;-0,0185112980244088;0,0177469416543778;-0,00885010435200333;-0,00471768887441453;-4,06881244938997E-05;-8,05020999617404E-05;2,4984147931687E-05;-2,4866173747165E-05
15;0,00195564956915653;-0,0258728718460988;0,289298676192994;-0,00387188366746363;8,75330798844536E-05;2,60695182188149E-05;-0,000193845331556843;0,000998924798772921
16;-0,012847279281664;0,0159178084604723;-0,00407301023480014;0,0250423066796216;-5,05539159794138E-05;-5,12754842769366E-05;-8,58342229605856E-05;-2,42027990311653E-05
17;0,0101545692768848;-0,0485131389934402;0,0171436243453291;-0,0469990660330841;0,00016989454842032;3,96591906899494E-05;0,000163737075481098;6,40273517343897E-05
18;-0,00303930794622569;0,00838760546138038;0,025390936668177;0,0780824336354364;-3,03773391030814E-05;-8,56701605855588E-06;-0,000267872438417007;0,000107809754920971
19;0,0145589790219813;-0,0502692464816095;-0,164978747419483;-0,0276437678610215;0,000182684576831916;2,2043950687228E-05;3,84130842101333E-06;-0,000588330509523031
20;0,00983790053003386;0,00333314494090861;-0,0194965294217484;0,0406651451537783;-2,91420746890459E-06;3,6400470328005E-05;-0,000155545940512609;-3,1039055378886E-05
21;0,0305050507821155;-0,0313194600237222;-0,105826618598894;0,0331816340646021;0,000139520536341969;6,39701376252756E-05;-0,000234675945703139;-0,000311708868269251
22;0,0125726768656828;0,00545805665563145;-0,0119832333713025;-0,0259015478932888;1,15329030473655E-06;4,81307894325458E-05;6,50505747978179E-05;-7,64798457680949E-05
23;0,0298843630309079;-0,00945705360312901;-0,0454759615451295;-0,067601492515305;8,14486191974006E-05;7,41950999769666E-05;0,000125904746598597;-0,000257433409513967
24;0,0124362162428105;0,000299244452384649;0,0568100584863078;0,00126604006486096;2,44486708797156E-05;3,64788089407625E-05;0,000111539682515771;0,000165788426156278
25;0,00905657263557257;0,0139626410766681;-0,0536466975736164;-0,0328632972517953;-1,67557041106762E-05;5,59136330813979E-05;-3,43502309101487E-05;-0,000218626116770665
26;0,0180496978024394;-0,00462510561659366;0,0229626242960185;0,0235044735945572;5,6761365762534E-05;3,28453715310225E-05;-9,74347318847E-08;0,000115541231116197
27;-0,010810430518353;0,026013532052629;0,00834700566111556;0,00684912585993431;-8,72336170112063E-05;4,69911955156541E-05;7,63493575458506E-06;3,71755867096057E-05
28;0,0197078784071707;-0,00180600278244212;-0,00569324348568075;0,00808522019749862;6,10336274390111E-05;3,34220318458371E-05;-3,25344452048542E-05;1,23939444138193E-05
29;-0,0152554645481113;0,0193019060856978;0,0194213794841688;0,0655212061275382;-7,97076974496305E-05;3,39622141395714E-05;-5,07095447847319E-05;0,000234899129322708
30;0,0167408576692614;-0,00374974357568884;0,0186922658116069;-0,00582860333390892;5,93114725602792E-05;1,13783178883301E-05;6,84161187004757E-05;7,39296198233651E-06
