n;a(n);b(n);c(n);d(n);Invariant of a(n);Invariant of b(n);Invariant of c(n);Invariant of d(n)
0;561,072124553084;n. def.;184,708691194675;n. def.;n. def.;n. def.;n. def.;n. def.
1;-201,762291235406;-10,5439286675447;-3,36023369468556;71,0887024745824;1;7,91297389731327E-17;1,53863381336647E-16;-0,352246008489565
2;-0,0155875512650198;-0,0110782204798353;-0,0484559184751322;0,0261370157898778;8,20619068747882E-05;4,66837525443063E-05;0,000224992689505667;-0,000153885237556641
3;-19,4396234580054;-3,11273009323493;-1,48116751684051;8,86871936788429;0,0974425533829573;9,14797205211162E-05;0,000494707143833272;-0,0445031755539592
4;-0,00668500908851061;0,0196100080601246;-0,0352674451833901;0,0577389418786182;1,17363120948018E-05;-0,000101213206360405;0,00011064615505283;-0,000316280896059319
5;-5,68598942064544;-1,49422425939682;-1,58222108174346;5,06273814263023;0,0290958054362008;-0,000168752584559438;0,00106407456203866;-0,0262346924057743
6;0,0193102761632994;0,00679847900721718;0,084292804587303;0,0788100351327562;-0,000100267928162821;-1,64777785939403E-06;-0,000518340686293272;-0,000240331294378533
7;-1,95423233451131;-0,71601489707172;-1,09885620186382;2,92768040283694;0,0102998297292552;-0,000166950767908785;-0,000155133118558574;-0,0154771854468546
8;0,0195880014237229;-0,0264373629403202;0,117719981529881;-0,050531274661502;-3,37805016530787E-05;0,000158194369214036;-0,000428550742772974;0,000467706872776644
9;-0,632769368911491;-0,312753690113147;-0,639459085895029;1,19833447082154;0,00349289562707921;-4,66482925331214E-05;0,000100644971742579;-0,00672232908745186
10;-0,016792533131459;-0,0223503156914903;-0,0477385926745257;-0,136036107335378;0,000126503530900439;5,26107192107323E-05;0,000544124817430682;0,000462053052062642
11;-0,205302087097358;-0,0940342445001236;-0,23419370666038;0,227689273988552;0,00110399021128348;-0,000166708019937826;0,000350907502226267;-0,00157897581956738
12;-0,0101808641827009;-0,00570589093401574;-0,0328137300763673;0,0778927727657088;5,75165206157433E-05;-6,33998104777555E-06;-9,78224895126543E-05;-0,000406736935250159
13;-0,0687759776103145;-0,0316293145521169;0,147436850172054;0,0614121674967186;0,00036390473535691;-9,56484825186184E-05;-0,000756049365295561;0,000228316549037803
14;-0,000249640942045038;-0,00557220330603068;0,0277347538497412;-0,0306921244163507;1,95231461624952E-05;1,91074885583307E-05;1,27005678024254E-06;0,000204783275591833
15;-0,0340696673175668;-0,0297730037718605;0,117054416227171;-0,125620888913064;0,000223232971614812;-1,86040967448337E-05;3,75241167843523E-05;0,000849016510701894
16;-6,06693740773583E-05;-0,0098740768393612;-0,0107117470390779;0,0200144502522142;3,68863818816682E-05;3,23629196304972E-05;-3,90083721539381E-05;-0,000105277655843183
17;-0,023169658000079;-0,0234109333570904;0,00921238391827639;0,0349926249591504;0,000162388552270612;-1,75922757229975E-05;-0,000163660109390317;-7,20471830738996E-05
18;-0,00509779040008017;-0,00377562081429767;-0,0111912778243425;-0,0468737554376811;2,94106569789453E-05;-9,90732260618945E-06;0,000221220555432304;8,93232520343835E-05
19;-0,0093611095328749;-0,0221532961259255;0,0196434927686728;-0,0536832348320523;0,000117063587873217;1,91698302661144E-05;0,000172508352892514;0,00022448463954182
20;-0,00854430262025051;-0,000361313800031387;-0,0316245776990138;0,0237703080519114;2,23461672097251E-05;-3,55924449448589E-05;-2,57456483006993E-05;-0,000194179850896753
21;-0,0233788874438807;-0,0282527635747799;-0,0263203952693092;-0,0639285951587836;0,00017597162931561;-4,17340053123973E-05;0,000341726769536349;2,35005231634423E-05
22;0,0020145790514849;0,00850005297579235;-0,018389978436384;0,0347774430871507;-4,23403123413845E-05;-7,17781998322377E-06;-0,000122182339582975;-0,000151695787674416
23;-0,0226135781057913;-0,0235230555838499;-0,0290064700902343;0,0196139089340029;0,000148073006906821;-6,43330104541159E-05;-4,10449105473855E-05;-0,000168437364641359
24;0,00309786357662223;0,00125316157032473;0,0415532256709629;-0,0100658611375643;-1,04401827997921E-05;1,23841109979221E-05;-1,33711759496174E-05;0,000211222452401755
25;-0,00917731438456971;-0,0216089706691394;0,00452019278290828;0,0410043137709884;0,000115235134220975;-1,77384436838683E-05;-0,000202009249925724;-2,81395871042651E-05
26;-0,00187284637827082;-0,000496900108516666;-0,0274631262519852;-0,00858017355149531;4,07247661299879E-06;-8,36717423364769E-06;6,80048847884472E-05;-0,000125145383273256
27;0,00444559588785401;-0,016102440763823;-0,0201748093529844;0,0443613674947226;7,6189262855752E-05;3,33247877345555E-05;-0,000203070183031094;-0,000129867228109521
28;-0,00157869685129636;0,00158437970583302;0,0215192140114661;0,0163475133909876;-6,935044845728E-06;-8,67879266095161E-06;-9,00859717612782E-05;9,88692015828254E-05
29;0,00237881528083113;-0,00623701759861459;-0,00484827054028418;-0,0260592439097526;3,01642232044378E-05;1,29224695684462E-05;0,000129826672510276;-1,92864053086685E-05
30;0,00506397803006366;-0,00305185876208248;0,00474359089676949;0,00535646254504577;1,55743586476887E-05;2,47606324474857E-05;-2,60849875103233E-05;2,39680837100283E-05
