n;a(n);b(n);c(n);d(n);Invariant of a(n);Invariant of b(n);Invariant of c(n);Invariant of d(n)
0;629,896929541552;n. def.;299,810399543312;n. def.;n. def.;n. def.;n. def.;n. def.
1;-221,878754561435;-32,2300320020961;-13,3720418478165;82,2652758540922;1;9,50717732836081E-17;2,93137967624458E-16;-0,371661663399882
2;0,0522185175905589;0,0680653838492116;-0,258607318198556;-0,0134266100647858;-0,000300226357523881;-0,000228360714308898;0,00112643776218751;-0,000263013997618131
3;-18,2354804262744;-8,3473423510283;-6,67628289139969;13,9579216854144;0,0894547337883855;-8,64601406039656E-05;0,000833318899904266;-0,0689931350859271
4;0,021754400616791;0,0382871213109281;0,0101889282892467;0,0260147137452583;-0,000174212226211996;-9,26044943965398E-05;-9,93237495043772E-05;-7,28734507310505E-05
5;-3,45862217849337;-2,99582245300568;-5,24157980585807;5,98310069298948;0,0204099703901273;-0,000133896631341089;0,000266913500774863;-0,0354743551325844
6;-0,0086672288772823;0,00407731810112973;0,0263433745061212;0,0300347340400889;1,05826294959413E-05;-4,10356888157227E-05;-0,000178263898551546;2,84618891103575E-08
7;-0,484764404897358;-0,732986994582795;-2,31736660230035;1,51320843820507;0,00391943323420432;-0,000106859315197375;-9,79965264006574E-06;-0,0123434854218087
8;-0,0147904003886031;-0,00893854322605582;-0,0215372809101284;0,00382457813609724;6,42831150674726E-05;-4,34868445326931E-05;2,48677059522988E-05;-9,3898957363891E-05
9;-0,0105631301602253;0,0392300503936759;0,0065459077001343;0,0160191338117336;-0,000154085404678949;-9,61858892706425E-05;-7,57412986552925E-05;7,71618927024351E-06
10;-0,0264860660992772;-0,0329352035064724;0,142027686041044;-0,0655976600596809;0,000164789352346949;-8,90867712536678E-05;0,000189833144404731;0,000671759256343532
11;-0,0237963226164276;0,142838518540955;0,619896227858323;-0,000740079670471605;-0,000635777796969002;-9,4785597862685E-05;-3,0265300753152E-05;0,00276531622828242
12;-0,00983078714718105;-0,0660972563945537;0,0861763404610392;0,0425996420541644;0,000285787181769633;-7,80853025774933E-05;-0,000141575127861476;0,000406001656005153
13;-0,012619646973427;0,0584266555395528;0,341815924063245;0,211848436024066;-0,000269841883500378;2,76013658923698E-05;-0,000503288664482691;0,00172078549823465
14;0,0109383762666208;-0,0602493515530134;-0,0474245318365954;-0,053301146404069;0,000266805065023297;-6,46890365395001E-05;0,000131535930198632;-0,000288390965047837
15;0,012620905612287;0,0041464661907607;-0,0221844612587944;-0,140580060082608;1,73009192630102E-05;5,46113520251193E-05;0,000481724854975035;-0,000413620887521233
16;0,0283168719975173;-0,0579885141083022;0,0425854623527242;0,0242314406487114;0,000279867832733653;-6,67475771310792E-05;3,6350955362668E-05;0,00021562193332694
17;0,0196682132510267;-0,0116044872930446;-0,0913532943529639;-0,0586832488859423;9,8850003621904E-05;1,70599921277433E-05;-0,000127298831873326;-0,000467565112151327
18;0,0392147261619106;-0,0402502452376495;-0,0463810065303799;-0,0508455825145041;0,000245072836494506;-5,31385799803871E-05;-4,63523087785278E-05;-0,000303318461263353
19;0,0264376408392353;-0,00467509201639563;-0,0467903107998486;-0,0341399283276239;0,000114284841951937;3,1110879656305E-05;-0,000122001257669927;-0,000228386543127797
20;0,0350187279099177;-0,0144741567593029;-0,0118196353190874;0,0355053655808985;0,000167721071218276;-1,27305492268261E-05;-9,98322390108035E-05;0,000134751540932128
21;0,0119134856516672;0,00389404201099317;-0,00896540535685276;0,0145493441943866;4,90841065468946E-05;2,64821000701111E-05;-5,06998033194183E-05;5,70406839446566E-05
22;0,0284751013939339;-0,00577257882909275;0,0177302913554176;-0,00232579489251879;0,000128237753473162;-2,22864936159362E-05;7,84025368282826E-05;-8,02236951795738E-06
23;0,00486511635562878;0,000815909393446791;0,0377358058555213;0,0412462072653046;2,33412725429553E-05;2,34080678283257E-06;0,000187958052899636;0,000163624872783264
24;0,0196531634020234;0,00570223567511681;-0,0396308373551999;-0,0245314287245983;8,9786651869281E-05;2,01210104577655E-06;-0,000199325718793125;-6,12133109549916E-05
25;0,00444259380597076;-0,00470101631061935;0,0284964342972371;0,00432134900308602;1,10739768660139E-05;-2,72250749417507E-05;0,000124585583556142;-3,11700451294791E-05
26;0,0117713276607513;0,00962563488173761;0,0453391730219085;-0,00898526556262756;6,82011297385095E-05;8,92113062050891E-06;0,000152546428494843;-0,000138184500512471
27;0,0114927984759814;-0,0057440497451482;-0,0120517166020077;0,0144808637460151;2,37345425035934E-05;-5,1540204904855E-05;-1,35023435572604E-06;8,43960504948858E-05
28;0,00952520877368638;0,00651397456717753;0,00293014957661938;0,00685519182502041;5,04326649184947E-05;-1,12405288354675E-05;3,0922028336235E-05;1,13346671578996E-05
29;0,0122607758187273;1,59542217981647E-05;-0,0123644520363239;-0,0386356662727881;3,0017703672927E-05;-4,52407477962976E-05;-0,000173180865753286;-5,27751407608367E-05
30;0,00811459712761754;0,00743749350516156;-0,0169671745984919;0,0090487689284971;4,59111181004672E-05;-1,67994806692961E-05;1,71192515847902E-06;8,5863853196231E-05
