n;a(n);b(n);c(n);d(n);Invariant of a(n);Invariant of b(n);Invariant of c(n);Invariant of d(n)
0;682,918342450739;n. def.;323,86948035267;n. def.;n. def.;n. def.;n. def.;n. def.
1;-219,580076987707;-14,3296177106781;-4,66703678771758;75,9425647712077;1;1,37234392055117E-16;1,29161780757757E-16;-0,345767446165031
2;0,0416696761120714;-0,00108071105826351;-0,00150308982407003;0,48282940846489;-0,000186674207143041;3,29115217955866E-05;-0,000280914696162103;-0,00217615033413964
3;-20,2739202730092;-4,02333228311612;-2,08900998605018;11,9380929739044;0,0939328264437336;-2,51929253162903E-05;-0,00117152858602295;-0,0550612171501082
4;0,0499437482463599;0,0189054028277349;-0,0680835538165336;-0,0487529666801285;-0,000242023218968707;-2,42191756742029E-05;0,000355968581062141;0,000133561914612329
5;-5,21543866974555;-1,76727647333345;-2,55680059199599;7,46694325686908;0,0250250561052628;1,09574197820888E-05;9,08957839499095E-05;-0,035867524633258
6;0,0185474836962373;0,0114050425332623;0,0751443010177184;-0,0692832644134454;-9,74391592632728E-05;-1,6120782642704E-05;-0,00019456630694676;0,000421819176904137
7;-1,33027451326842;-0,630794313154947;-1,9097051538042;3,54814046148885;0,00668872429379895;-8,64159791613464E-05;0,000632253228784568;-0,0183012024706878
8;0,00714301342762806;-0,00226708576809078;-0,0262056620742915;-0,0747458405403992;-2,33211270949268E-05;2,48470978859796E-05;0,000273375779609093;0,000234157954816796
9;-0,221279571458708;-0,10239594138362;-0,396637210810125;0,502028036339129;0,00109395589617177;-0,000169734694840284;0,000226812468721812;-0,00289911120428195
10;0,0164715276881826;0,00266660492421357;0,0231338441435243;0,0385017656963336;-6,63968563766518E-05;3,62194719472254E-05;-0,0001901930694337;-7,43198739237735E-05
11;-0,0196333704284671;0,0219030831714202;0,466883154531584;-0,451354508091353;1,46149339639866E-06;-0,000138046357006423;-0,000235286716907247;0,00294151752123093
12;0,0289725406934134;-0,0128400638633628;0,0696087393831643;0,00847349758025995;-5,10945588553974E-05;0,000134211824116906;-0,000250441466706492;0,000197349926560055
13;0,00161937452830482;0,0192995915366031;0,343343909857062;-0,252248207212509;-7,07107257532681E-05;-5,49538276527177E-05;-0,000161228600199382;0,00192935508935587
14;0,0335923576971894;-0,0191337492173844;-0,0237345142716482;0,0516107989107748;-2,32045273694641E-05;0,000174462336028518;-0,00012118874405932;-0,000227702431104986
15;-0,0137363232698907;0,0093466901323261;0,0332769686828598;-0,0807415565950887;-1,2290249571583E-06;-7,59888526959787E-05;0,000222214103490177;0,000328712201517289
16;0,0457327514353159;-0,0161468755081684;0,00555415885275653;0,0515425817118133;-3,92436021882306E-05;0,000216965152922118;-0,000215882938221065;-9,41364844765277E-05
17;-0,0296443747777461;-0,0168993880956578;-0,0857637037851801;0,0580003516280806;0,00012821819989875;-8,66692269971428E-05;-6,56592930466942E-05;-0,000466010112030018
18;0,0447990906864378;0,00219707587655822;-0,056067406197334;-0,00858451984271695;-8,65632051433083E-05;0,00018496036892672;0,000132500708260381;-0,000220751936301955
19;-0,0193211245308068;-0,0393956250135926;-0,0933653767731192;0,0668046688903988;0,000197868450145087;-2,5723840065084E-05;-0,000152995318383333;-0,000498735385579304
20;0,0335082121706967;0,0107186411577077;0,0488395172001415;0,00214315452370961;-8,57414920974163E-05;0,000134564259730475;-6,59986886226628E-05;0,000212374175655219
21;0,00517129863142281;-0,0496575806505877;0,0335715199137023;0,0504282947773602;0,00021744799763772;6,5862461403498E-05;-0,000253694368642268;0,000106258701677423
22;0,0288818077606068;0,00485832117367674;0,0261075838810548;-0,0039166119578792;-3,83771490482009E-05;0,000127266410989481;2,71405976516345E-06;0,000120130453938145
23;0,0156189377955358;-0,0412846988099807;0,00558378231856164;-0,0396390241321649;0,000182747616188572;8,20716391264171E-05;0,000178560422492247;3,6276187589104E-05
24;0,0108562106728432;0,00997638794288164;-0,0161955202105637;-0,0789719657107554;-4,55960732489504E-05;4,96993204313106E-05;0,000358404360935937;-7,55188264328498E-05
25;0,0280671391055457;-0,0210677245222586;0,0170757727661325;0,0569367958734585;0,000104953241084988;0,000120269678461597;-0,000252412450718072;9,59994228699026E-05
26;-0,00820382105907687;0,0126046881358765;-0,00451108707150483;-0,011884401959414;-6,19096583037833E-05;-2,90735319468418E-05;5,06127408072517E-05;-2,772359413432E-05
27;0,0411980007776624;-0,0109960897728126;0,0208289539293549;0,0136582765328202;8,66837639053452E-05;0,000173182221567328;-4,16248074981477E-05;0,000105467906714879
28;-0,00786771797533922;0,00502809750072185;0,0152027682381765;0,00811877017455657;-3,14845801173443E-05;-2,85323444328154E-05;-1,73090216595719E-05;7,63548603866916E-05
29;0,0468547889020992;-0,00669359651982576;-0,0175680781799777;0,042137627233368;9,88424866329982E-05;0,000191213965238023;-0,000206936673387503;-1,23728943217743E-05
30;-0,00536148701952573;0,00255417922914929;-0,0199896831062389;0,00183287916028204;-2,01089300782483E-05;-1,78091270079311E-05;-4,3049008587655E-05;-8,04699091795403E-05
