n;a(n);b(n);c(n);d(n);Invariant of a(n);Invariant of b(n);Invariant of c(n);Invariant of d(n)
0;621,164256623985;n. def.;236,854247941303;n. def.;n. def.;n. def.;n. def.;n. def.
1;-196,277902777107;-22,5434272827748;-7,96203497861977;66,9486439582879;1;1,79821886514771E-17;3,59643773029541E-17;-0,34124784539788
2;-0,0146621923844673;0,121391225136621;-0,514357498314611;-0,720276841019402;-6,11565546057715E-05;-0,000610722235415931;0,00335915713043812;0,0029650370901915
3;-18,4282147748042;-6,50643758820667;-2,09364542615336;5,65445207911609;0,0989184083888284;-0,000251662969637608;0,000247533098749766;-0,0305160927794891
4;-0,135900619716903;0,106422991711491;-0,0865730972110587;-0,306948493825811;0,000382598431246635;-0,000784397323624105;0,00107613737811781;0,00120389690364478
5;-5,33379185999472;-3,36455562455092;-2,435590432852;3,97602957525321;0,031918227033953;-0,000239649432228836;-0,000509953002953242;-0,0235956657959182
6;-0,16436184178724;0,0068736011322805;0,12294033465921;-0,00277136126240826;0,000622646158628973;-0,000551370800362304;-0,000474818246618411;0,000404437275803147
7;-1,70496877686526;-1,76774060570843;-2,42038192276958;2,61603570153446;0,0124293197869419;5,53778609581751E-05;-0,000924441019412331;-0,0180165539400125
8;-0,114462427862849;-0,0460822837475747;-0,0412761845060471;0,133707588262395;0,00053890911880422;-0,000315468294971535;-0,000407265049227723;-0,000579576609017543
9;-0,429268319185179;-0,793523142947223;-1,73898247590933;1,09810631011897;0,00456037763284525;0,000214357464970394;-0,00018252106804922;-0,0104087835902035
10;-0,0632502046473643;-0,0444772355367443;-0,0529419088872181;0,105450606786394;0,000338012373074802;-0,000197011535011693;-0,000372777781961056;-0,000466722626254751
11;-0,0433032460988644;-0,310963356837988;-0,570873846643261;0,22706467420705;0,00156307041624562;0,000280259476965288;-0,000188373745932301;-0,00310454995766844
12;-0,0390054185605899;-0,026236096327983;-0,0681724566763071;-0,0181958340088974;0,000170437527063869;-0,000166771294414814;0,000160119222095443;-0,000318840162996883
13;0,0308826495259091;-0,131610796515237;-0,00283859334403565;-0,0924051147572205;0,000649897387393178;0,000216301484936322;0,000466071896805966;2,78986453172027E-05
14;-0,0615378944355985;-0,0157631361654425;0,0437270565251628;-0,121354485533423;7,36434952085406E-05;-0,000312887810504729;0,000619000209303111;0,000207788280074556
15;0,0510585990504948;-0,0728373576474347;0,268818142426577;0,0759371122656994;0,000400115765175252;0,00020801119981084;-0,000196165188771944;0,00139997006706788
16;-0,068038297135534;-0,0260622651223625;0,0194088844541991;-0,0152617247250237;4,26254961935378E-05;-0,000366206783615866;9,91144358742213E-05;7,66033100778732E-05
17;0,0784933486692368;-0,0620004713612269;0,246135319464879;0,0781967069542041;0,000434869167962022;0,000261475335502149;7,32699624909394E-05;0,00130468610738787
18;-0,0530888568305955;-0,052605501356489;0,0939454850356586;-0,000712660902692437;0,000113143993377816;-0,000360426968685751;0,000221778433863251;0,000421104535630972
19;0,0831927349634314;-0,0601579918291277;0,094724767166945;0,0518912100117946;0,000487699894921098;0,00018042581402789;4,87586693124969E-05;0,000544154184109494
20;-0,0289354802906319;-0,0545311742752367;-0,087124416079892;-0,00492039582452917;0,000114690731997556;-0,000291033246886276;-0,000267223256485166;-0,000351363483565902
21;0,100918564489059;-0,0469998839676763;-0,00326125088219241;0,0733491338699975;0,000535267516600767;0,000175214302494071;-0,000266308999208216;0,00025978101216377
22;-0,0293326875876505;-0,0272822292610594;-0,0411595447401061;-0,0614425643918725;-3,70972116983928E-05;-0,000199912605194271;1,77327272812443E-05;-0,000373597043667179
23;0,0991799678708243;-0,0118835098067329;-0,066640511304213;-0,0665065344687575;0,000464620751217748;0,000198216235751741;-0,000124502511791054;-0,000460491027263615
24;-0,0244594892447979;-0,0296804472475088;0,0209309098598513;0,0228039804015613;-5,3614188277968E-05;-0,000186886841745729;5,12637694907077E-05;0,000148367505993069
25;0,0747529596239952;0,00458572763090761;0,031948061395332;-0,0261364873809367;0,000355439997360405;0,000132443201257555;0,000192710639044647;-7,95754440270944E-05
26;-0,0115157530162492;-0,0325536680547333;-0,000623399738835369;0,00237419608651846;-2,74805943179234E-05;-0,000172586961762203;-5,23755833369824E-06;1,15144412306387E-05
27;0,0769743802671352;-0,00510165319123688;0,065842892266108;0,0247234483967878;0,000390964704339376;1,07412791800094E-06;0,000323335896794105;0,000147604262782022
28;9,27460375796651E-05;-0,0251512565176703;-0,0353635806689046;0,0366789503838003;-5,58311794797827E-06;-0,000126893117501372;-0,000170360110933692;0,000193794724080044
29;0,0766427846088475;-0,00230311767923421;0,0332904966374121;-0,0165775275485902;0,000381406130230197;-7,32171471165036E-05;0,000152465490660889;-0,000109461200062374
30;0,00867837576219193;-0,00898691029088795;-0,0460274731122884;-0,00435593170966047;2,96702716184242E-05;-5,55855521153721E-05;-0,000230327568521992;4,16980624038676E-05
