n;a(n);b(n);c(n);d(n);Invariant of a(n);Invariant of b(n);Invariant of c(n);Invariant of d(n)
0;844,527929186916;n. def.;516,883036707947;n. def.;n. def.;n. def.;n. def.;n. def.
1;-273,940185848114;-17,7021707977189;-5,78767269583454;93,0420873950156;1;-1,29419410960839E-17;1,48832322604965E-16;-0,339590751127311
2;-0,00676830019754556;0,126550062883023;-0,774607852246221;-0,219974821148985;-3,78504178493255E-05;-0,000460714547887484;0,0029016690343393;0,000429249658495613
3;-26,3882595573667;-5,2094343005747;-2,10398886061336;11,506766865464;0,0979837780413442;7,61113476772284E-05;-0,000492562659422682;-0,042608140106495
4;0,0239407504611911;0,109676056755222;-0,188304163474479;0,225925426398748;-0,000187183758125807;-0,000362901635928738;0,000451757607934249;-0,000971748912593665
5;-7,69678277339656;-2,55935235605098;-2,39774056094873;6,78148766333455;0,029547018009818;-7,04114913525456E-05;0,000436832465809658;-0,0261993866543636
6;0,0421540758515768;0,0587691847296604;0,0539785342084154;0,0408063706114582;-0,000223071797039784;-0,000139778751561387;-0,000238532061195359;-6,30817253361967E-05
7;-2,67154144778548;-1,26702509184565;-1,84491441356634;4,0887784304054;0,0107708064316513;-0,000104049806440391;-0,00048099090900765;-0,0163335080394372
8;0,0278512333528206;0,0292271114813814;0,0221944166508147;0,0328006738981151;-0,000140777262484016;-4,21005921041379E-05;-0,000129585493145876;-6,3720417571484E-05
9;-0,848309602656566;-0,541090974459651;-1,34246092725033;2,03937208827566;0,0036649158938298;-4,97569583315155E-05;-9,35319543224838E-06;-0,00889425328003779
10;0,0200700614990383;0,0165296477141886;0,0872080273945111;0,0492361845741091;-9,43045339107114E-05;-3,88202260634928E-06;-0,000361612767890368;4,8907503728155E-05
11;-0,210541241400013;-0,164223396749743;-0,445923536827149;0,503249402303827;0,000971405625066646;-4,71870474554531E-05;2,97665113693982E-05;-0,00244927718761565
12;0,0358010681909665;0,0113689477581863;0,0205125004120898;0,0975724919473649;-0,000121678236745222;6,22350347556794E-05;-0,000302834315993121;-0,000200643618454688
13;-0,0533056270348461;-0,0373302285289552;0,0578034477382546;-0,187220648932979;0,000230370249185585;-5,50821642644937E-05;0,000369344171210057;0,000610869599302749
14;0,0339763042914287;-0,00242602707084517;0,11184836963465;-0,067287611179445;-6,91571760839962E-05;0,000102554506376146;-5,76380720661349E-05;0,000472089765672394
15;-0,0494316275037488;-0,00927183463514529;0,241936895322196;-0,289632282801801;0,000128962565326654;-0,000131011366328458;0,000375751224013388;0,00132232083813141
16;0,0206857707190479;-0,0107692020472894;-0,0385447859379531;-0,0123855912552229;-4,62657776764983E-06;8,4924977327274E-05;0,000110229917139005;-9,78997243017501E-05
17;-0,0486866662652635;-0,0317378517698392;0,240804680854292;-0,0801247359903186;0,000183361969715118;-0,000106895956109923;-0,000135449453330066;0,000914396851649452
18;0,0258582645471333;0,00582469957925048;-0,016562566605073;0,0127353120732246;-5,64899599306254E-05;7,83640123885903E-05;-1,90222793871535E-05;-7,36343759279909E-05
19;-0,0387570632606344;-0,0519766990519705;0,0653067415995862;-0,00133841842983378;0,00022556811011102;-7,04503895024517E-05;-7,42500902784174E-05;0,000225936925275483
20;0,0250734712811144;-0,00411201340541704;0,0547099670124697;-0,00192674505243217;-1,02420360785702E-05;9,18063401537511E-05;-4,71616840883511E-05;0,000193853094765163
21;-0,0205089703718652;-0,054677752578858;-0,0582625320988569;0,0941726467535651;0,000210619734495147;-3,14877343844537E-05;-0,000291342110146504;-0,000278847093907441
22;0,0242976909913637;-0,00308777204532263;-0,0463874798654706;0,0117963151464626;-1,57254716228274E-06;8,93702295480451E-05;-1,82415656235887E-05;-0,000173320959398852
23;-0,00748708195880845;-0,0510824138357793;-0,0650523252615714;0,0104459617259134;0,000187678979965636;-1,22127062061438E-05;-1,89700435195344E-05;-0,000239257229854627
24;0,0212319482585754;-0,000766560623544576;0,0306224120659708;0,00488588996353811;1,68640853777394E-06;7,72740298529417E-05;-1,94157141403127E-05;0,000111353380644818
25;0,00243412273138591;-0,0447711463166917;-0,070557424235432;0,0362057772654159;0,000163466875730462;8,84120458448759E-07;-0,000144500886765083;-0,000250069468675326
26;0,0189119883041148;-0,00151969703804752;-0,0236646593664666;-0,00501970160354527;1,34079293073665E-05;6,78817681803373E-05;8,27158543764207E-06;-8,76738983848591E-05
27;0,0140809959781248;-0,0285097280157769;-0,0231861544518225;-0,0182826852312043;0,000111315054341109;3,19598798984423E-05;5,05056999771572E-05;-9,49929279317048E-05
28;0,0135813048859213;0,00294987317098514;0,0156852200910317;-0,00331894509505999;1,54408017010608E-06;5,05551907785155E-05;2,55821634421745E-05;5,25502978823128E-05
29;0,0141329157058725;-0,0154635127427114;0,00998550072995771;-0,0192692910543804;6,92697086712605E-05;3,18545340091393E-05;7,80054800293219E-05;1,32813922935623E-05
30;0,0127461536499928;0,000253628693528967;0,0150427922124335;0,00425448366725934;1,61217677394363E-05;4,34989324290629E-05;5,63850268191951E-06;5,67097338231907E-05
