n;a(n);b(n);c(n);d(n);Invariant of a(n);Invariant of b(n);Invariant of c(n);Invariant of d(n)
0;642,011701290778;n. def.;327,515599737837;n. def.;n. def.;n. def.;n. def.;n. def.
1;-199,323876126654;-9,66483441001914;-3,19229967085719;83,9628506715246;1;3,56053974264407E-17;1,55773613740678E-16;-0,421015095110774
2;-0,00884520745291095;-0,0206277117928061;0,146579723745228;0,117124666594167;5,87833345147224E-05;0,000101070975884584;-0,000789849527427707;-0,000509011506386239
3;-18,1767362407283;-2,74625181803733;-1,19533361143976;8,09441414122479;0,0921172771112298;2,10084771207751E-05;0,000267459004657727;-0,0410009659637274
4;0,0136089125441199;-0,0244733330086177;0,111712453129614;0,0152264225044143;-3,90812507117256E-05;0,000133653233603372;-0,000563905142662785;3,87311593042963E-05
5;-5,07168797786457;-1,27782635282732;-1,32669334971761;5,14804035681981;0,0262077647999717;-3,29048274146811E-05;0,000105874673411293;-0,026640301604154
6;0,00740797291205609;-0,0517012337774712;0,110555780450164;0,00139501680895114;4,50224064933974E-05;0,000257444040172563;-0,000530420402733705;0,000160651820451624
7;-1,42241959898243;-0,504488155227591;-1,00224580849159;2,89817638817439;0,00756373720305706;-2,43402633061333E-05;-0,00029703387169526;-0,015363327889277
8;0,00989675513683111;-0,0819408595185878;0,0417548869600856;-0,0267499190246491;0,000117191494692033;0,000395753597919438;-0,000138741782856903;0,000207846620852386
9;-0,266579253689601;-0,137505797719349;-0,369158187641286;0,8795263930997;0,00150425876193727;5,54342131382746E-05;-0,000273413587951214;-0,00477127241594069
10;0,022174343790222;-0,0455848326490755;-0,110453584521768;0,010449907851549;1,13276195169562E-05;0,000255322421529113;0,000458496189461422;-0,000313170592515882
11;-0,00752463825949853;-0,0336999418107287;0,0159796498126168;0,00988482501416114;0,00012186858022925;0,000123321950782133;-9,35053514742906E-05;1,01135980941126E-06
12;0,02821231569606;-0,0222068217375498;0,0412728596194456;-0,0302014161057545;-5,19548613278047E-05;0,000170815639059739;-8,34844097104015E-05;0,000243310310902881
13;-0,00670865576196726;-0,0183029884280711;0,138054519948338;-0,281805082267684;8,10433333596432E-05;4,36825095515716E-05;0,000318365751298889;0,00154025840538929
14;0,0264753002397576;-0,0443050450079575;0,0641874919871333;0,0180755258292779;4,56780913025171E-05;0,000254094888606475;-0,000302749688374113;0,000142274034931537
15;-0,0440939427527288;-0,0380533166530662;0,148428262490018;-0,175207799428049;0,00029115776087514;-2,02980749453467E-05;6,78891788708917E-05;0,00114866035962119
16;0,0291692691857532;-0,0356072256582315;-0,0598654157502679;0,0171125763467294;2,79577166438023E-05;0,000230334025049697;0,000144545870164683;-0,000275350498483251
17;-0,0534781287624959;-0,0719522833789383;0,100318202953591;-0,0430148653832699;0,000449012463008877;2,8500686517106E-05;-0,000161225399867585;0,000522071169815087
18;0,0206171476409178;0,00653647939880795;-0,0787240178592297;0,00518252735153683;-9,02850748136951E-05;6,34495377805643E-05;0,000220272803409771;-0,000327633327589896
19;-0,0426926761078413;-0,0699929062394252;-0,0612941102601967;0,027754977278286;0,000409765888399869;2,63109025076877E-05;6,33106880866265E-05;-0,000331445645569469
20;0,020566122329179;0,0168734171520934;0,0101186158895454;0,017540795431427;-0,000125698828816533;4,28276937517945E-05;-0,00010208992918391;-3,17376003948686E-06
21;-0,0243691606460138;-0,0605686865131705;-0,0175131170565046;0,0594288845443766;0,000325822062634775;4,1498626518184E-05;-0,000216192313691914;-0,000220896016711305
22;-0,000387227362959465;0,0192109601893885;-0,0143842655060829;-0,0876772798469644;-8,78813483259178E-05;-4,47664148400637E-05;0,000425818006227836;0,00012825209940493
23;-0,00838470662265603;-0,0408945576303726;-0,103008976188968;0,01986892300382;0,000204314251279336;4,48046056826267E-05;0,000112798820909602;-0,00051345653686454
24;-0,0273172417987187;0,0121998307555997;0,0366313166851472;-0,0318002407107669;-1,03544424382217E-05;-0,000150804766940991;8,57925326240217E-05;0,00022661180469203
25;0,00264999756827968;-0,021602907102327;-0,0119371662093741;0,0251925897456142;9,98940952713941E-05;4,5507688960518E-05;-0,000102083234634356;-9,4545879490598E-05
26;-0,0313233608266745;0,0122040352092754;-0,0369571363439036;-0,0206390410481763;-2,07742183772511E-05;-0,000166440970119403;0,000146309823749527;-0,000154365579556795
27;0,00639416927630357;-0,00490173118917193;-0,0484908639278989;-0,0190045530018622;1,68802073972502E-05;3,74855603030287E-05;0,000142108578428406;-0,000218763631433769
28;-0,0350424277022419;0,00772359857789391;0,0289278753279512;-0,0131978359412358;-1,20516709704154E-05;-0,000180240789851727;4,34878328386787E-05;0,000152302468843766
29;0,00502660207015358;0,010542274874507;0,016517131097508;0,00627060691509422;-5,48749909255596E-05;1,93394838241264E-05;-3,98585389329559E-05;7,93034354609129E-05
30;-0,0330474238674018;-0,00146083970220432;-0,0166897516987303;0,00501169276967632;1,56596647162264E-05;-0,000164576391364354;-2,08393700917591E-05;-8,56593625200905E-05
