n;a(n);b(n);c(n);d(n);Invariant of a(n);Invariant of b(n);Invariant of c(n);Invariant of d(n)
0;697,780099652198;n. def.;330,611270575101;n. def.;n. def.;n. def.;n. def.;n. def.
1;-222,49262041724;-18,9317327724195;-4,9482939055765;75,7579388661443;1;7,95494372801967E-17;-5,17071342321278E-17;-0,339910511252418
2;-0,0148593235233496;0,102096816371963;-0,0872022091330771;-0,0187988954866102;-1,70508320034347E-05;-0,000461917160270385;0,000399086135369833;1,14555090029869E-05
3;-20,3961471764111;-5,36235269701405;-3,3123521826901;12,2042341356877;0,0944375990771908;-6,96199448742171E-05;0,000864603228965107;-0,0566325874896972
4;-0,0223832654293976;0,0607468427714277;0,363310152707868;-0,000796154907536837;1,24739342000121E-05;-0,000294147558676605;-0,00152717949862495;0,000558749202024063
5;-5,15813180505032;-2,36867228846479;-3,04416396538915;6,95030207950051;0,0254234122916969;8,4370714659468E-05;-0,000638475506403777;-0,033969815408536
6;0,0126755333284228;-0,00947464902406069;0,133734206386625;0,102116493778103;-2,22221660420032E-05;6,58802468578335E-05;-0,000747604811263265;-9,52542600753031E-05
7;-1,30978624160215;-0,935625854709191;-2,23522318947778;3,39318748540843;0,00721197731253135;0,000195883421344595;-0,000485514163065379;-0,0181871826008657
8;0,0365753169430176;0,00646651714523511;-0,203624021679868;0,0230982708836352;-0,00014872699847865;8,83490026100611E-05;0,000629945689260194;-0,000665678534583477
9;-0,227383433286776;-0,281220514107332;-0,458837610902676;0,462367288410901;0,00161090074581954;0,000189807288698567;-3,91504748597924E-06;-0,00291570460882312
10;0,0320286449613688;0,0265840919409046;-0,0858659240482472;0,00509048124790264;-0,000185057188120103;3,60334275960266E-05;0,000227735852914204;-0,000309384321567581
11;-0,00543470424984055;-0,0844434627836854;0,384835508500166;-0,240052144254891;0,000324907469063915;0,000180964300782247;-0,000101269319537843;0,00202995707112313
12;0,0316014985492227;0,0262257376819638;-0,0204401035430424;0,029247630744366;-0,000171807412581713;6,53144606596295E-05;-6,92873893775111E-05;-0,000144119314661318
13;0,0117332420710175;-0,0565330176953619;0,477600315178438;-0,293997901401771;0,000205379243126181;0,000135258015822143;0,000296965579742718;0,00249521509227787
14;0,020510624672187;0,0301406089870052;0,0400886132659077;-0,00505413037857029;-0,000157841679823051;3,92263527746591E-05;-4,08647024485113E-05;0,000176846606887464
15;0,00841191861562299;-0,071921324523145;0,125454592232016;0,0129038873193143;0,000303191791217529;0,00011490590908014;-0,000197458919542331;0,000529161520955723
16;0,0128098796240161;0,0155145641038823;0,0949909762780903;0,0373921452868701;-7,64526368048532E-05;4,17111149198342E-05;-0,000238191993727914;0,000390891057014208
17;0,00357809229520752;-0,0681108641078921;-0,153492431567925;-0,0503942103382426;0,000300448722680823;4,66160555192597E-05;0,000284889077274564;-0,000665659347864468
18;0,0104722061972495;-0,000800506962495191;0,024752601173049;-0,0212436771561931;3,02091044800198E-06;4,60480843861356E-05;9,55324575031516E-05;0,000110878143965555
19;0,00271909523434869;-0,0635602610828157;-0,0973979191313714;0,0107133893494145;0,000285220963229568;-1,04389295635155E-05;-8,51853487552536E-05;-0,000430113002342969
20;0,00549400172796528;-0,00762004236687755;-0,0019428233987915;-0,0220487276272743;3,72227130598612E-05;1,83586797279353E-05;9,59156524126898E-05;-2,59341435839632E-05
21;0,0112998587739057;-0,0484084458822208;-0,0777855148457626;-0,0367884610601774;0,00022194833146762;-5,23562174319389E-06;6,9165592206927E-05;-0,000379430577926866
22;0,0130901263902647;-0,0063970980025321;-0,0105533676604486;0,0241552562447209;4,80446556948636E-05;4,51446895314129E-05;-0,000117483120332257;-6,58709226626234E-06
23;-0,000826765858794938;-0,0227809424046899;-0,00716686501792325;-0,0583544551590053;8,9009255507308E-05;-4,57980755551084E-05;0,000223353569603979;-0,000140838074422562
24;0,0172074667826609;-0,0071972409431196;0,0264763906349258;0,00176302343024358;6,62671017431704E-05;4,95153946412383E-05;5,34267894227612E-05;0,000106770776110934
25;-0,011302162498393;-0,0107336204985721;0,00939715323346663;0,0186117785303469;1,03512721776094E-05;-6,96998099341809E-05;-4,36747388274246E-05;8,19596476750483E-05
26;0,0185117156460511;-0,00914875804840135;-0,00185660019228122;0,0135837258889274;8,52407278008202E-05;3,65071652809562E-05;-5,11411492265085E-05;3,32614627091438E-05
27;-0,0129589121561291;0,00249394331045574;-0,0440638026597675;0,00093440956661156;-4,80162281192008E-05;-3,18631342075825E-05;-0,0001435458664005;-0,000136096345176466
28;0,0156060684272758;0,00209239318177665;-0,0293127487818254;-0,0188809690798185;4,81399539560654E-05;5,29751188323571E-05;-4,66264461643251E-05;-0,00014850983862498
29;-0,0163906713453345;0,00602336174978322;0,0111179149217922;0,0141393954630668;-7,57407793956173E-05;-2,02020116388634E-05;4,32987709673093E-06;8,02501345078583E-05
30;0,00758164380324228;0,00422521127350827;0,0227019698784564;-0,00728658033923256;1,9339647313595E-05;3,30831319390399E-05;0,000104633950997302;2,2237692121774E-05
