X;Y
74;181
76;199
84;214
96;227
111;234
129;236
147;235
164;237
181;240
198;244
215;247
233;250
250;253
268;255
285;256
304;256
321;256
340;256
358;255
376;254
393;250
410;248
427;244
444;241
462;239
480;240
497;240
513;234
527;223
537;209
543;193
541;175
532;160
520;147
505;139
489;136
471;137
453;137
436;134
419;131
401;127
384;125
367;123
349;121
331;121
313;120
294;120
277;121
259;122
241;123
224;125
206;129
190;132
172;135
155;137
137;136
119;135
103;140
89;151
79;165
