X;Y
114;254
126;275
144;292
168;298
194;298
220;301
244;306
268;311
292;316
317;320
342;323
367;325
393;327
419;328
445;329
471;329
497;328
523;327
549;325
574;322
599;319
623;315
648;311
672;306
697;301
721;297
747;297
773;295
794;283
808;263
810;238
800;215
781;199
758;194
732;194
706;191
682;186
658;181
633;176
608;172
584;169
559;166
533;164
507;163
481;162
455;162
429;162
403;163
377;165
352;167
326;171
302;174
277;179
253;184
229;189
204;193
178;194
153;196
131;210
117;230
