X;Y
111;180
119;196
129;211
144;219
161;224
178;227
195;231
212;236
229;240
246;244
263;247
281;250
299;252
317;253
336;254
354;254
373;254
392;252
410;251
428;248
445;245
462;241
479;237
496;232
513;228
530;224
547;219
562;210
572;196
580;180
579;162
573;147
562;132
547;124
531;120
513;115
496;111
480;107
463;102
446;98
428;94
411;92
393;90
375;88
356;88
337;88
319;89
301;91
283;93
265;96
248;99
231;103
214;108
197;113
180;117
163;121
146;125
130;134
118;147
112;163
