n;a(n);b(n);c(n);d(n);Invariant of a(n);Invariant of b(n);Invariant of c(n);Invariant of d(n)
0;541,842182177814;n. def.;218,616578983743;n. def.;n. def.;n. def.;n. def.;n. def.
1;-190,214509693343;-30,0335936327018;-10,652467926786;65,8227753506405;1;0;-5,53465073294123E-17;-0,346254439741165
2;-0,00617145921537584;0,0249791847721376;-0,17358841743309;-0,204154849393055;-7,54758227481953E-06;-0,000132180344374767;0,00118345798664976;0,000732285434696625
3;-16,9847517336276;-8,64960422234129;-2,01149205750656;3,54913734038413;0,0989793035773906;0,000244678470860764;0,000853773413033179;-0,0211610910286173
4;-0,0680989376997418;0,00961057933916434;0,00589090802720061;-0,214252799510421;0,000258697690463026;-0,000245809322696703;0,000625137352934843;0,000920974673973673
5;-4,56718794039911;-4,57652141023289;-2,97502339100161;2,59539284640793;0,0335766425838187;0,000171697997400117;0,00144573913746896;-0,0204471849582069
6;-0,0532119962483139;-0,0411986098585398;0,0772094303034631;0,0116113092485268;0,000335649084016925;-9,53451474795996E-05;-0,000286688369565311;0,000287353634357246
7;-1,24317200123289;-2,34608612688995;-3,42270267345707;1,35944533630909;0,0137899870384479;-0,000153077913784963;0,00189185098392731;-0,0190282387043353
8;-0,00817907029395994;-0,064756574837;0,0460689723106658;0,0428987747575052;0,00033198514465553;6,64254439948708E-05;-0,000287558036605047;0,00015628470831564
9;-0,235599524816607;-0,956467823128874;-2,49841925805724;0,246094473580053;0,00510208470895165;-0,000405045560947508;0,000877086109450684;-0,0130061342398874
10;0,0175409692844768;-0,0411149503738893;-0,0596935650849781;0,0360612383446358;0,000212302318773607;9,2753005181862E-05;-0,000184465211713592;-0,000311984791268382
11;-0,0194869443576383;-0,269072386240124;-1,11504213964684;-0,143091935312348;0,00136749585741087;-0,000312286385364649;-0,000109578298001275;-0,00583631391005464
12;0,0199046360402209;-0,0287959828171871;0,0103044014585352;0,0206928775185249;0,000173385512646133;5,43124786494851E-05;-8,69292240594274E-05;8,29773312835575E-05
13;-0,0338433074958315;-0,0439523786122183;-0,196158449646978;-0,0694638441872357;0,000126766112218439;-0,000260197590367104;-0,000127258759065811;-0,0010727224052005
14;0,0160513396469227;-0,0318870173872976;-0,0109627803610782;-0,0196586927672707;0,000183433123934167;-2,74828087781178E-05;5,03338670458479E-05;-0,000105318754431895
15;-0,037537707782096;-0,011682052662058;0,046155470295111;0,227557018125528;-9,32407428678564E-05;-0,000180634008409198;-0,000680995116979914;0,000995192933163535
16;0,0262454181805348;-0,0254756345862453;-0,0084747666262093;0,0284691823668344;0,000188239755463637;-2,3758621571729E-05;-0,000124273154892234;9,17937717096284E-05
17;-0,0259032480833412;-0,012674155974688;0,0394026700567209;0,174943121370698;-8,828935844146E-05;-0,000119867162364315;-0,000245335745211537;0,000898464315578437
18;0,0286991938944867;-0,0163103441309288;0,0335014035502558;-0,0215641812299374;0,000168809656992408;-3,15368885605349E-05;0,000200722432922064;-4,90729761985159E-05
19;-0,0418844278258602;-0,0184667404653583;-0,0299409732112489;0,0377582552361266;-0,000197615988709023;-0,000132272568748019;-0,000187132852312408;0,000165997122464601
20;0,0205834909149863;-0,00792778572972967;0,0130715925260873;0,0101739604994331;0,000107792765015884;-3,89341517763839E-05;6,66431226222822E-05;5,4241870283599E-05
21;-0,0596794355674208;-0,0167741017754556;-0,0334606463572831;-0,0277058774975642;-0,000319147182180339;-4,4457393912484E-05;-0,000191179359491224;-0,000118915782195459
22;0,021571469236914;-0,00853253871557474;0,0482623205515302;0,0420028345251737;9,49720557168516E-05;-7,44817130829032E-05;0,000302670544446428;0,000136820800797335
23;-0,0430609602021515;-0,0286177657698825;0,0363483089043117;0,0482809313366647;-0,000265500182459947;-3,68190530219974E-05;0,000279154181522216;0,000144221990775529
24;0,023550978788876;-0,00713240896032965;0,000429535905074182;0,00640958473895078;7,96305170951745E-05;-9,99226089817146E-05;2,06254523845969E-05;2,62744193576972E-05
25;-0,00869982923764284;-0,0198669660830187;-0,0142283927604045;0,0199249123503899;-0,000103807249638323;-4,34310829169599E-05;1,79238724675333E-05;0,000125959134932643
26;0,023210845294012;0,00224236807449475;-0,000281286983595236;0,0125732610999281;8,26803709837352E-05;-8,84820687217882E-05;5,0789387266211E-05;4,10342456060709E-05
27;-0,00397322660110092;-0,00646350993651471;0,0136710244759525;0,00879295573892294;-3,92317013057767E-05;2,02014200624719E-06;7,40977779581791E-05;-4,05383264626823E-05
28;0,0170571988839048;0,00521376164511591;0,0287628243164354;-0,0297821228258348;5,50855587607119E-05;-7,46442765892539E-05;-9,56440608875115E-05;-0,000192489006893139
29;-0,00250001119363728;-0,00769137212286768;0,00273246824044762;0,00853762009353538;-4,15832769606376E-05;5,35677308450452E-06;4,62580944641721E-05;-5,74646660661448E-06
30;0,00840242077554302;0,00485305116382482;0,0146295880549196;-0,014077534471881;2,63953470483555E-05;-4,29731161263456E-05;-7,08247431732226E-05;-7,80694682392723E-05
