X;Y
111;134
115;153
126;167
142;175
161;178
180;180
198;184
215;189
233;194
251;198
270;201
288;204
307;206
327;208
345;208
363;209
380;208
399;208
419;206
438;205
457;202
475;199
493;196
511;191
529;186
547;182
566;180
584;178
601;170
614;157
620;140
618;122
607;106
592;96
574;91
555;90
536;87
518;82
501;78
482;74
464;71
445;69
426;67
407;65
388;64
369;64
349;64
329;64
310;66
291;67
273;70
254;73
236;76
218;81
200;86
182;90
163;92
144;94
127;103
117;117
