X;Y
55;121
59;138
68;152
82;162
99;165
116;167
134;170
151;175
167;180
184;184
201;188
219;191
237;193
254;194
272;195
290;196
308;196
326;194
344;193
362;191
378;188
396;185
413;181
430;176
447;172
464;169
483;169
499;165
515;158
526;145
531;128
527;112
518;97
503;88
486;85
467;84
450;81
433;76
416;71
399;68
382;64
365;61
347;58
329;57
311;56
296;50
282;56
264;57
246;57
228;59
210;61
193;64
176;68
159;72
142;77
125;81
107;83
89;84
73;92
62;106
