n;a(n);b(n);c(n);d(n);Invariant of a(n);Invariant of b(n);Invariant of c(n);Invariant of d(n)
0;611,503514971767;n. def.;265,746280669298;n. def.;n. def.;n. def.;n. def.;n. def.
1;-207,545318783663;-29,4338314681409;-10,5380895534507;72,8579011877111;1;1,6948176636967E-17;-5,0844529910901E-17;-0,351182999759717
2;0,0693121357592769;0,0286864928850725;-0,228953383515477;-0,803832100596186;-0,000353294636171896;-3,60491442120885E-05;0,00211312747093597;0,00338146117685676
3;-17,8727881205163;-8,02347967639063;-4,77538914627408;10,6458641518956;0,0934592361883377;-1,62932576430547E-05;-9,2867308003873E-05;-0,0556613575530787
4;0,00362007332703542;0,00879994229139303;-0,296862438861518;0,0213033254773405;-3,57159256049787E-05;-2,72524659913422E-05;0,00114427443523298;-0,00084057608176416
5;-3,94588639111977;-3,34590251830359;-4,81395109552763;5,67492018913703;0,024680125944559;-1,83692184747374E-05;9,76944066177474E-06;-0,0355005022981027
6;0,0241258965634666;0,043896822897622;-0,216553848580649;0,282394156019171;-0,000233265598566409;-5,52307564190918E-05;-0,000318269399967944;-0,00166745385477683
7;-0,76878680301509;-1,12165056267327;-3,17143010327799;2,04032068542205;0,00648676125672045;-0,00010749948807093;0,00027489268102667;-0,017987465340592
8;0,0335212965939969;0,0672691336765749;-0,0381927564343483;0,188531758516407;-0,000359310928575237;4,91924162237391E-06;-0,00073193799996699;-0,000552980164668328
9;-0,110999150265903;-0,196704536166856;-0,523408171910477;0,0999917879334172;0,00105471582187874;-0,000224631586365371;0,000297130883873663;-0,00252425814909583
10;0,00500748916555733;0,0577224929363984;0,0449604016355567;-0,0218046921409502;-0,000275454292204289;-2,16576782832653E-05;6,74782618544539E-05;0,000228739392865688
11;-0,0406712526804238;0,00884227780678623;0,548125109647532;0,0178597370732314;-3,74085535655114E-05;-0,000192139028281327;-0,000151539879707207;0,0026120310881451
12;-0,0229859846916596;0,0643370806564326;-0,00335821981875643;-0,0569436714857146;-0,000317184256091688;-7,37353989570097E-05;0,000268363511597688;-4,7028080614661E-05
13;-0,0333238692754226;-0,00940557730177068;0,550569363810267;0,0913739885925278;3,49070905493048E-06;-0,000162215293718188;0,000242253256920573;0,00265154669673546
14;-0,0482930976612245;0,0552380415315294;0,0497795546944676;-0,0363265555777436;-0,000331714208179542;-0,000110715332901601;0,000251863185915114;0,000152354212723273
15;-0,0227450991533696;-0,0289810061819178;-0,0205658799490886;-0,0225610380656491;6,34055459748453E-05;-0,000164084301391276;4,22802994470289E-05;-0,000139157858133774
16;-0,0342402138027642;0,0293952392580937;0,0073344458445454;0,0680374807779134;-0,000211887653120414;-3,92037929761187E-05;-0,000230823724696978;0,000230658617267644
17;-0,00810258101238302;-0,026532664611667;-0,105290719123665;-0,0738955090216605;5,82433246956659E-05;-0,000119435822778804;-0,000125340194844378;-0,000600591040056481
18;-0,0243202629552346;0,0104285333357286;0,019257170005249;-0,0383846405328493;-0,000123323583820061;-2,61355815973548E-05;0,000180602735737755;-9,69345215109125E-05
19;0,0305919719007345;-0,0184824714051461;-0,108399937761938;-0,0289873272458406;0,00016963314978477;-1,25267750867861E-05;-0,000397796484895292;-0,000358376597151738
20;-0,0199417786526999;-0,00555979605630367;-0,014777622611938;0,00471186429797524;-8,13864591064892E-05;-5,60654299956976E-05;-7,38834668460799E-05;-1,64853073910983E-06
21;0,030019942402087;0,00447485109239215;-0,00920012766401569;-0,0826844425330639;0,000136574156823459;4,77477649977213E-05;3,17544882653374E-05;-0,000395647874669601
22;-0,00532901334024237;-0,0160093196256589;0,00290426711792039;0,0405826743294534;-2,15067277668951E-05;-7,73497496807698E-05;4,03015445773704E-06;0,000194138658064577
23;0,00384000478038642;0,00683075109132385;0,000328246773183415;0,0158873882807702;2,11730420552874E-05;3,08976040963483E-05;8,32478286366323E-06;7,53115307131321E-05
24;0,00867032778801793;-0,020177035263136;0,000579903262351213;0,00697345004639273;1,83213280415035E-05;-0,000103117215016147;1,02631318334929E-05;3,18723463087591E-05
25;-0,0124926159278146;0,00551110119903361;-0,0290998998785834;0,0238477594929529;-4,61223807474959E-05;4,62662338518732E-05;-8,81309659544038E-05;0,000156274520341719
26;0,0124968842723736;-0,0118385071734615;-0,0128141304002622;0,0147650241921723;2,43476590901714E-05;-7,83191549837323E-05;-1,88859218592376E-05;9,14237982539161E-05
27;-0,0216262765411257;0,0093500259159863;-0,0393641576959035;0,00613374442644;-5,51200390729244E-05;9,81872604029324E-05;-0,000131497734092285;0,000137048914858955
28;0,0130609321740609;-0,0161676319908813;0,0695040173014005;0,0241225702522481;-1,07960267198989E-05;-9,86939048388961E-05;0,000314797663796033;-0,000155100487448634
29;-0,0138332012238795;0,00224060554977709;0,0431093125475124;0,0385493239308049;-3,0427941946498E-05;5,93094492934196E-05;0,000270251428414649;-5,56917246501502E-05
30;0,0263460892195189;-0,0117786930396387;-0,0385117348761332;0,0262960608172553;1,06498327766842E-05;-0,000137016820364284;2,25120913077247E-05;0,000221470768218106
