n;a(n);b(n);c(n);d(n);Invariant of a(n);Invariant of b(n);Invariant of c(n);Invariant of d(n)
0;628,185947636705;n. def.;259,769919445485;n. def.;n. def.;n. def.;n. def.;n. def.
1;-213,035583054606;-13,8652885860352;-3,73898925169131;74,3801237815538;1;1,0816754383258E-16;1,24808704422208E-17;-0,348798346002587
2;-0,12034876509153;0,0350756667175631;-0,256085894729055;-0,334615202492148;0,000528491099904008;-0,000246342686346132;0,00140139943431395;0,00139152708794691
3;-20,5244837082691;-4,09320511117558;-1,86047052446029;7,65502225000748;0,0980206605681355;-0,000202037517232501;0,00195100611906917;-0,0368766108861058
4;-0,102270207603889;0,0339626912130354;-0,0411534053395819;0,0193786071936121;0,000418815262184058;-0,000279502940675706;0,000164285511057891;-0,000140241681938713
5;-6,16000113519234;-2,04374522604641;-1,91497167223284;5,12544128638817;0,0303932523584866;-0,000300925559941926;0,000751516090978921;-0,0256246635161295
6;-0,0819030165181062;-0,0186266599021769;0,0666065488899488;-0,118238433952328;0,000387582180631385;-7,3602093005046E-05;-6,80071783274262E-05;0,000631349792713688
7;-2,15808270859887;-1,00912952836668;-1,71951803266928;3,29846271176295;0,0111521541327693;-0,000253409763163226;0,000261963614400721;-0,017424284249385
8;-0,0962709689878641;-0,0275517872405902;-0,100074206471909;-0,160745255697593;0,000448944163894525;-0,000121867530044175;0,000790315146912564;0,000407006154258324
9;-0,672817115623621;-0,390043295298864;-1,14663114072627;1,70782618631336;0,00363235130523402;-0,000227243798396833;-9,50259542191005E-05;-0,0096361385022506
10;-0,0864388811647856;-0,00376410642001601;-0,012246748548818;-0,0271295793456531;0,000327483943262;-0,000238104955786635;0,000125823704603554;6,25403219200689E-05
11;-0,170862851615518;-0,0977350021969097;-0,320547770085723;0,390330203637461;0,000900901759627654;-0,000185404345238787;-0,00011266072986967;-0,00236402918409083
12;-0,0709065619200953;-0,0190253134289823;0,0899099398948365;-0,0101766304867762;0,000296043829184766;-0,000179454000176037;-0,000255989778082422;0,000335427070463653
13;-0,0488832434389215;-0,00463458645433673;0,0687204101147964;-0,0236454523949665;0,000164714134313362;-0,000163117638456904;-0,000121470010905994;0,000316682320925206
14;-0,0395775584653453;-0,0379674710629962;0,0302505562586008;0,0984507562358432;0,000255688986855946;-4,3519963835054E-05;-0,000454253172113031;-0,000158478994785403
15;-0,0123439686921146;0,0015267278454825;0,261150000841178;-0,0885588398316833;2,67170584552414E-05;-6,00174054978465E-05;-0,00030472414374262;0,00125483943473653
16;-0,0158884215340322;-0,0293997881375781;-0,0449740989148989;0,0236485725900284;0,000156511199166346;1,82159749282595E-06;4,27132648067594E-06;-0,000237979770208578
17;-0,00661555380219756;-0,00557206019823633;0,103317083738473;-0,0722181426047006;3,60447868016569E-05;-2,06515424337316E-05;0,000105285173686481;0,000580915574111202
18;-0,012077201417098;-0,00795613127556055;-0,0799262755309647;0,0257341008143035;5,4847308510612E-05;-3,72864009454429E-05;2,10068770687206E-05;-0,000392988341526104
19;-0,010865582294744;-0,00782335374386827;0,0477391056739687;-0,00758971224926347;5,01216790884686E-05;-3,92533997534302E-05;-3,11690474421159E-05;0,00022399874175829
20;-0,00719490239725411;0,00287531277326715;-0,030218711440372;0,00310044435283851;-5,53545016896503E-06;-3,50563030330042E-05;1,81014762886044E-05;-0,000141337428198516
21;0,00286270553652893;-0,0147824619021587;-0,0397776454114777;0,0490527008031326;6,72995577557496E-05;2,57638943960489E-05;-0,000196094832377825;-0,000220989260701459
22;-0,00448965374106489;0,00725049549035497;-0,0272565299071484;0,00217787661957214;-3,18024112097544E-05;-2,34355051087397E-05;1,89107095203062E-06;-0,000128201200273133
23;0,00693188598214619;-0,0152475339000037;-0,024158418723972;-0,0167419708290023;6,99717833467125E-05;3,51702819266638E-05;8,20713045867093E-05;-0,000110640713329501
24;0,00135898957925764;0,0204900089592229;-0,0230060820384265;0,0089690616137441;-9,53923804681093E-05;1,06407928727544E-05;-4,66484588986634E-05;-0,000106022077194153
25;0,00662330341741144;-0,018590392781849;-0,017892163748023;0,0159743485865013;9,03405558946351E-05;2,2154677471351E-05;-8,26802527349604E-05;-7,53624821905099E-05
26;-0,0134658971860302;0,0144303864060907;0,0557241430798756;-0,0593100949563653;-7,92671606284184E-05;-5,17884695581566E-05;0,0003179691360639;0,000209252737645486
27;0,00959684655945569;-0,0126548660658511;-0,0112453902263212;-0,00901655442413199;6,8071373447273E-05;2,99841743865657E-05;2,89493032201718E-05;-6,10070419420127E-05
28;-0,0191495706916731;-0,00859326038358352;0,0334211966611137;0,029642687649994;1,18329626223437E-05;-9,87790156092914E-05;-8,51186692224726E-05;0,000190550047611768
29;0,0059426208479293;-0,00734096762925433;0,011234554758887;-0,0150917433582184;4,16697118563172E-05;1,32415712171852E-05;8,525961421838E-05;2,32959646364113E-05
30;-0,00621236075121001;-0,0046374781906642;-0,047930669200641;0,0100782148114753;8,05783597118215E-06;-3,45087846025499E-05;-0,000138357928262278;-0,000183175988540792
