Index;Source Image;Area;Perimeter;Width;Height;Rotation Angle;Segmentation Method;Optimization Method;Best Template (EFDIs);Template Difference (EFDIs);Hu-Match for best EFDIs-Template;Standard Deviation;Width/Height Ratio;Smoothed Perimeter Ratio;Compactness Ratio;Quality Indicators;Template is convex;Convexity is used;Rectangularity;Compactness;Ellipticity;Triangularity;Roundness;Convexity by Perimeter;Convexity by Area;Formfactor;CDF;PCAF;CHMDF;CDF-Match;PCAF-Match;(non-)Convexity Indicators;Ranking Index;Contour Image;Contour Image top left Corner;mu-00;mu-20;mu-11;mu-02;mu-30;mu-21;mu-12;mu-03;Hu-1;Hu-2;Hu-3;Hu-4;Hu-5;Hu-6;Hu-7
182;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\002389ca.jpg";744,601207830071;131,436764889834;56,1226171376754;17,3469387755102;-0,0140395349210914;"Adaptive Thresholding";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.273.tif";2,30623073338022E-05;0,0189779116654838;19,5553705960533;3,23530381146599;0,996784256022158;0,991807988391525;0;True;False;0,764826585377395;0,548629318557364;0,995034100163216;0,687331207517005;0,300994129180718;0,950064365741176;0,984966185970277;0,541626466859303;1,03391177186553;1,52632793326947;54,2129220962524;0,996273664560888;0,744591882694607;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000182";"{X=33,Y=41}";71511,5;1378718775,1284;-308255,750763893;120717551,104311;615799484,980469;196178795,400818;-51948204,3982162;-17817672,3427124;0,293208295058867;0,0605143929018088;5,14981799374612E-07;1,8701095806778E-07;5,61871540751518E-14;3,76219847244048E-08;-1,45315618843486E-14
183;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\002305ca.jpg";568,320491461891;117,521710797232;50,2070088289222;14,2017193229831;0,284166547501099;"Canny Edge Detector";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.115.tif";2,31621829485923E-05;0,0526388079037686;18,0663646123492;3,5352767990331;0,995175575896916;0,981154153950533;0;False;False;0,79705454368369;0,535781074277218;0,986898648415097;0,692997189411611;0,287061359553649;0,955982318211742;0,967902964099199;0,517090988658925;1,0396029354893;3,31614191621703;163,761632919312;0,99592047917465;0,857116031887864;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000183";"{X=54,Y=64}";54581,5;897715718,178355;4137758,9062438;63457257,692656;-1488160040,20508;-450189659,412537;94080566,4483604;28466567,729187;0,322634360914987;0,0784263682722215;1,03959379605711E-05;4,37901451805122E-06;2,88368864385089E-11;1,02739159030371E-06;-6,43357950190175E-12
184;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\002294ca.jpg";602,374010828821;121,782665812239;52,148879693479;14,3020193917411;0,24283935473176;"Canny Edge Detector";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.115.tif";2,32568003894158E-05;0,128384525803267;20,710433107935;3,64625989275285;0,998611732770406;0,97250774250946;0;False;False;0,807651270542024;0,531059508770016;0,98561945977166;0,693896597520735;0,28202420185505;0,958678380224349;0,966923501195033;0,510393502695695;1,03865533592111;3,42079789808477;182,257637023926;0,99682909032156;0,830893401213885;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000184";"{X=12,Y=65}";57852;1040217708,08963;4115596,81928825;69202609,4241095;-38098106,9824219;-357630457,300842;13917961,8082581;19410193,397583;0,331481549340357;0,0841801435708339;1,85100682799139E-06;1,77427711484261E-07;-1,00669099851898E-13;-5,08910875752358E-08;-1,43033438807463E-14
185;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\002351ca.jpg";883,928571428572;148,121940274628;64,2860194614955;17,5534618144133;-0,0217849206204427;"RATS, sigma=9.00";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.163.tif";2,32691644327733E-05;0,105624446297597;18,5082984466843;3,66229864747875;0,9978843490264;0,980751505182752;0;True;False;0,78331755137388;0,521851708740888;0,994975297230593;0,687371828717148;0,272329205915785;0,957144968699144;0,984883201559246;0,506277062189395;1,03006131901791;1,53488235120888;64,1878671646118;0,999112584099552;0,71042451494219;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000185";"{X=58,Y=123}";84892,5;2206697145,49439;-782071,799154282;149797076,3493;-733228001,353516;-1157648054,05713;37986623,1741333;78609539,6506348;0,3269849263187;0,0814609261612328;3,02360193155219E-06;3,73703779049982E-07;-3,48543148022233E-14;-4,41548931232509E-08;-3,957084878007E-13
186;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\002450ca.jpg";731,570179092045;132,487939851625;56,941030074139;16,5425639249841;-0,153267100263649;"Adaptive Thresholding";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.273.tif";2,33043413554489E-05;0,134999844929033;19,6259246096744;3,44209218911596;0,99519198530381;0,968961065041077;0;True;False;0,776654482545765;0,535991295738838;0,995037560296728;0,687328817398441;0,287286669107798;0,951857569076079;0,98209418375477;0,523736888915574;1,03440481373939;1,82322801024765;75,6420135498047;0,995798797634589;0,623340242171967;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000186";"{X=15,Y=2}";70260;1407483702,80158;-3470299,29518986;110195466,405084;958188540,030762;-421935634,941498;-63887766,9336853;35481875,991272;0,307442343834417;0,0690641719157912;1,7612471255522E-06;5,54345558021905E-07;5,09366373358507E-13;1,00401564056173E-07;2,01430022078025E-13
187;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\003126ca.jpg";454,971886713869;105,839539206758;45,5133866290657;12,7681467484455;-0,255010379532905;"Adaptive Thresholding";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.163.tif";2,34049217320782E-05;0,0318286232437782;14,661494982553;3,56460397313392;0,990649606031116;0,993848213487575;0;True;False;0,782920282272056;0,528820384875093;0,995456744633226;0,687039384958679;0,279650999459442;0,949945197659264;0,98470951458061;0,510385755588941;1,03411011001976;1,55279147738325;26,4645309448242;0,995200816869793;0,70223083120501;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000187";"{X=1,Y=0}";43695,5;566797137,011051;-2340601,92971706;40924150,0697826;-170476439,325928;-116746661,890617;15238513,2867489;8352829,56301117;0,318295883837929;0,0758663665215507;1,100695434237E-06;2,25051445930696E-07;7,80072280737619E-14;2,08358584439026E-08;-8,03808645442272E-14
188;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\002327ca.jpg";520,231153685964;109,234649368695;46,2262865961814;13,9961990045041;-0,118235714138735;"Canny Edge Detector";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.115.tif";2,34540803653994E-05;0,107612130997221;17,9261597529365;3,30277431617722;0,998452258448222;0,980812273935282;0;False;False;0,804076259498293;0,556755133155238;0,987804270412911;0,692361847453743;0,309976278294707;0,95864469363398;0,969073364689909;0,547879918049343;1,03752648168275;3,19136160758962;144,933259963989;0,99791366480076;0,890628750325701;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000188";"{X=54,Y=119}";49963;700375404,767543;-1327592,79531813;57041597,0249066;263873846,91748;145848704,535004;-29551008,2602501;-8909714,21765137;0,303415689787434;0,0664180494220084;1,03935352544611E-06;2,3658440302701E-07;9,09122117693471E-14;2,97078163657021E-08;-7,41501150676832E-14
189;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\003085ca.jpg";544,897959183673;116,765158322393;50,7217158103476;14,1932553661113;0,30516104573819;"Canny Edge Detector";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.130.tif";2,35930570973328E-05;0,00411059932871916;16,9166117468819;3,57364920886677;0,999999999583293;0,998568628110299;0;False;False;0,756901260062333;0,51930046751604;0,990387444167116;0,690555997669107;0,269672975562377;0,956322914058897;0,974588660340991;0,502225199917279;1,03587290710976;2,60739127111519;107,342252731323;0,999109476321635;0,88466480074574;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000189";"{X=6,Y=10}";52332;828427785,400206;4103991,01534247;57908500,9379774;834578000,780273;-194329452,471802;-57556260,7988014;11844253,181488;0,323641245700433;0,0791675078567095;3,48632193963733E-06;1,62310325950646E-06;3,81258734486024E-12;4,06754985408309E-07;6,0968533237695E-13
190;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\002278ca.jpg";594,778217409413;120,448883297492;51,6346678441885;14,2908135238959;0,0897783598217711;"Canny Edge Detector";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.115.tif";2,36411325490942E-05;0,0856678206824123;24,9200152021196;3,61313705184448;0,996696460215583;0,975980357877622;0;False;False;0,806040223975956;0,532955807720607;0,98736988127545;0,692666449074098;0,284041892983125;0,958382692787563;0,969928769728408;0,515180436944806;1,03721403188136;3,10035450129108;146,063342571259;0,998214275780554;0,916772065652921;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000190";"{X=27,Y=80}";57122,5;996853637,664926;1454662,92993641;68503266,6387577;1018689197,38379;-211253549,031708;-70721631,9873581;14995133,2034302;0,326498140430855;0,0809467227761358;3,18305187397452E-06;1,54091134309938E-06;3,38498082695565E-12;4,01822202812878E-07;4,33476378985487E-13
191;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\003017ca.jpg";483,985839233653;102,359895779162;41,8370242994659;14,0872130102041;0,0982931653399338;"Canny Edge Detector";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.131.tif";2,41724686969512E-05;0,0126905242515828;21,3639344388367;2,96985814505404;0,98090538083519;0,987969662302235;0;False;False;0,821195925917476;0,593349525606126;0,989270334925984;0,691335791077724;0,352063659537015;0,9428794295275;0,987182890698835;0,580474102787454;1,0367822558776;1,29835205025601;16,609297990799;0,989127025803711;0,970359855277249;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000191";"{X=40,Y=16}";46482;533971160,691011;820046,031359911;55962419,5319693;-111026460,890137;-388451110,6633;11467446,8803921;32532844,2633667;0,273044545415921;0,0489482944822118;6,71060153317375E-06;6,29497874394242E-07;-9,91689690609409E-13;-1,18809881737841E-07;-8,30968347864101E-13
