X;Y
53;97
57;108
63;118
73;124
84;127
95;131
105;135
116;140
126;144
137;148
148;152
159;154
171;156
182;158
194;158
206;158
217;157
230;156
241;155
253;153
264;150
275;146
286;142
296;137
306;133
317;128
328;125
339;121
349;114
354;104
356;93
353;82
345;72
336;67
325;64
314;60
303;55
293;50
283;46
272;42
261;38
250;36
238;34
227;32
214;32
202;31
190;31
178;32
166;34
155;36
143;39
133;42
122;46
111;51
101;56
91;60
80;64
69;68
60;76
55;86
