X;Y
55;109
58;127
69;143
84;153
102;156
121;157
140;160
158;165
175;169
193;173
211;177
229;180
248;182
267;183
286;184
305;184
324;184
344;183
360;181
379;180
397;178
416;175
434;172
451;168
469;163
487;159
506;158
525;158
542;152
555;139
564;123
562;104
552;88
537;77
519;74
500;74
481;71
463;67
446;63
428;59
409;55
391;53
372;51
354;49
335;48
315;47
296;47
276;47
257;48
238;49
219;51
201;54
183;58
165;62
147;66
129;70
110;70
91;71
75;79
62;93
