n;a(n);b(n);c(n);d(n);Invariant of a(n);Invariant of b(n);Invariant of c(n);Invariant of d(n)
0;667,141496215838;n. def.;424,977392216725;n. def.;n. def.;n. def.;n. def.;n. def.
1;-198,916598647286;-26,8136941717275;-10,3674972431493;74,9158795955692;1;-3,54004219961372E-17;-7,08008439922745E-17;-0,376797770040553
2;0,0418147865267867;0,253973823882506;-0,816138355085596;-0,0557713490561758;-0,000528393538432799;-0,0011668811469999;0,00399634230729332;-0,000802247588290254
3;-16,9504977041505;-7,19339730749039;-4,24026630156501;10,0714370872019;0,091739804428571;1,8403219438793E-05;-0,000236149358166472;-0,0544434222260703
4;0,0367649488895441;0,180445990871035;0,0626695729559192;0,252082181513243;-0,000616400599621011;-0,000682273750789085;-0,000906704664435281;-0,000921425048562142
5;-3,7031133296755;-2,86153218466506;-4,71537980299333;5,59342710653566;0,0233168949371212;-0,000269592078750143;0,00118068844837533;-0,0364279478510553
6;0,00444415227055363;0,0965387840970522;0,00988051550671622;-0,0146041522561447;-0,000360569073928912;-0,00031891857175043;1,84952121590167E-05;8,64910874680639E-05
7;-0,710759832833168;-0,782990798045418;-2,70815771491503;1,80799285429117;0,00524332994634993;-0,000551780321324431;0,000774925401737975;-0,0162032776257526
8;-0,0615393426166756;0,0828836450946169;-0,018940277978981;-0,0995926242716184;-0,000213002664611187;-0,000467555176189779;0,00048046470692067;0,000157494107860224
9;-0,126659327374975;-0,0537328558305;-0,192320946645652;0,129902236781059;0,000477446418078726;-0,000493211427723155;-0,000257504068003187;-0,00112663856037354
10;-0,075816714270344;0,0334799190684316;0,148735416446252;-0,000823988600529711;-7,38306170194888E-05;-0,000405198251391382;-0,000169675116931326;0,000721950314057214
11;-0,101300108965842;0,0253568760258824;0,675997384777814;-0,174728420572754;-7,28088855525011E-05;-0,000509707310589207;0,000518676434290611;0,00344054156371503
12;-0,0884529879353248;-0,0125559090982513;0,05415677315993;-0,124506116391885;5,0237493394929E-05;-0,000441981420210949;0,000628072048601866;0,000251712809848794
13;-0,0786278990922107;-0,050161890040583;0,402274793832832;0,156880948984192;0,000182126492840241;-0,000423935565947942;-0,000445224288685069;0,00210535663993684
14;-0,0873346253222716;-0,0403383771436307;-0,0444474259799405;0,0214905214112748;6,4617949365456E-05;-0,000475153995197724;-0,000167272749424264;-0,000179694473837304
15;-0,0423977672900895;-0,0796468751718015;0,0136267124734388;-0,078708167517085;0,00027311360288429;-0,000357668433983875;0,00038428589697638;-0,000101330737779769
16;-0,057209101538416;-0,0533697498408186;-0,0104713097830987;-0,00346118076375229;7,24324712896254E-05;-0,000383084851663179;-1,34127000651121E-05;-5,27189742275453E-05
17;-0,00557846634005067;-0,0968105221114891;-0,0964137998651662;-0,00377890217616943;0,000351492238057249;-0,000331562324921333;-0,00029450666286297;-0,000379850764075021
18;-0,0404932078309098;-0,0531094176812958;-0,034886012420522;-0,0516347822998121;2,95881034972763E-05;-0,000331899788781994;4,5142311869376E-05;-0,000306645281915893
19;0,0389831073356571;-0,0650524236012998;-0,115542304670745;-0,0802209568702111;0,000343991211357623;-0,000156490929013128;-0,000245477545654326;-0,000656352468298301
20;-0,0216637431372958;-0,0438238658658064;0,0192058888514636;0,0343825837353267;3,5006436714637E-06;-0,000243229842105997;7,05315943847115E-06;0,000196462792706643
21;0,024942705450007;-0,0268288180092389;-0,00537097496687069;-0,0648088621248392;0,000161860407700433;-8,50522683475371E-05;8,221007931612E-05;-0,000313194981846504
22;-0,0159623395329764;-0,0375068692567;-0,0132060648472829;-0,0200746777311486;-3,95674389318293E-05;-0,000199378152477373;-4,38157738276177E-05;-0,00011107760665733
23;0,0125824243757087;-0,0240987995191453;0,0221258850256068;0,0183719057862665;7,14617483566464E-05;-0,000115003343029932;0,000103133864637496;9,95280615876096E-05
24;-0,00862634695490965;-0,00555924776903359;-0,110590452290816;0,0129373164020286;-4,54114033359952E-05;-2,49104865002807E-05;-0,000546034799964713;9,75246929483419E-05
25;-0,00536665983738809;-0,0103289451807129;-0,0532183802717982;-0,0321483840931043;-3,65892210402995E-05;-4,55191104760411E-05;-0,00029094888595184;-0,000106093218624575
26;-0,015651980352558;0,00807003896039749;0,0275023204911238;-0,0332993564548422;-6,08150186795471E-05;6,28128442692425E-05;7,65636195559269E-05;-0,000201221805610934
27;-0,0152719058187335;-0,000738885227307246;-0,01712898754158;0,0331546125549294;-6,980423476981E-05;3,07971350186519E-05;-2,95041858022122E-06;0,000185851720412791
28;-0,0253567982856321;0,00509706725171962;-0,0412264608574782;-0,0156072431163458;-9,08259559555032E-05;9,18124332564771E-05;-0,000213602285430153;5,03392369420854E-05
29;-0,000551837935996479;-0,00843497794139953;0,0289454505055179;0,0224613008207395;-2,97100785801374E-05;-2,95840851727892E-05;0,000182169890729488;-1,22313468565351E-05
30;-0,0358783648666621;0,0091582131901074;-0,016175465337463;-0,0134021160028785;-8,20990738331801E-05;0,000165314875424122;-0,000103043311580095;1,73199644789345E-05
