X;Y
92;243
98;260
111;274
125;283
142;286
160;285
178;285
196;287
214;290
231;293
249;295
267;297
286;298
304;299
323;299
342;299
360;298
379;298
397;296
415;294
433;291
451;288
468;285
486;282
505;282
522;283
540;279
555;269
565;256
573;240
574;222
567;205
556;190
542;181
525;177
506;178
487;177
470;175
452;172
435;169
417;167
399;166
381;164
362;164
343;164
325;165
306;166
288;167
270;169
252;171
233;174
216;177
199;180
181;183
163;184
144;184
126;188
112;198
100;210
93;226
