n;a(n);b(n);c(n);d(n);Invariant of a(n);Invariant of b(n);Invariant of c(n);Invariant of d(n)
0;560,447993021947;n. def.;224,586223059994;n. def.;n. def.;n. def.;n. def.;n. def.
1;-195,6768375055;-19,688594732428;-7,09042096632292;68,5905799519537;1;3,61296054987394E-17;7,22592109974787E-17;-0,350625723112842
2;0,0579107165520922;-0,0609987606308239;-0,188173230133461;0,398031933863125;-0,000226462967405759;0,000360068294955738;0,000536349813587732;-0,00217394108619828
3;-18,3721760992747;-5,6631070627406;-2,30646273249896;6,97014870805351;0,0977567407215602;-0,000108337454733697;0,000635154199021683;-0,0373242936952537
4;0,0626840135873755;0,00417562518518919;-0,275575660617445;-0,151102941688858;-0,000300151968369118;0,000104619454477849;0,00159009406087762;0,000162539019808842
5;-5,29066539701721;-2,87854740642686;-2,29952263062504;4,12739987866597;0,0306261531179857;-6,30578672726371E-05;0,00017837109394978;-0,0240233581887578
6;0,0225256897963319;0,0451087580848946;-0,0982371226506473;-0,0623104564142001;-0,000223323089412675;-0,000124791571365882;0,000591422698496773;-2,00546098118659E-05
7;-1,71945584709255;-1,39928562340687;-2,52486768864125;2,66954349729468;0,0112720385901107;-0,000202833192985808;0,00107571824597812;-0,0186517774816559
8;0,00071544282422652;0,0428656253372658;0,0232343663762889;-0,0359788007625295;-0,000158716547632797;-0,000149144327863571;4,89264061846259E-05;0,000212411043245519
9;-0,498820549088085;-0,513525047206433;-1,42857141023437;1,00458176936438;0,00362294630332754;-0,000370045504123442;0,000518237729776114;-0,00886444040495435
10;-0,0151668351148981;0,0196053022935043;0,073126237143059;0,0383413198940698;-4,24941765268548E-05;-0,000118573501195964;-0,000365117591366443;0,000207307150418658
11;-0,152835089642113;-0,149286267593076;-0,373293439593547;0,218552043591337;0,00102926148801968;-0,000349508713916177;-0,000128074579767546;-0,00219545862658056
12;-0,0171344495266393;0,00380204150115726;0,0186494853024387;0,0324559426222528;1,34543038877033E-05;-8,81617038987058E-05;-0,000188227429143278;2,8449764467297E-05
13;-0,0728247879013505;-0,0676495752144832;0,195256573486295;-0,032197079270287;0,000430733803731455;-0,000263128465689232;-0,000109627568988843;0,00100059532255724
14;-0,0143395141372153;0,00166613237676149;-0,0172606524418403;0,00948464679932301;4,11328491221829E-06;-7,33898448554063E-05;-3,24777483367624E-05;-9,46532770030675E-05
15;-0,0408449416518208;-0,0602441470441331;0,19226527917858;0,0538124212715397;0,000320160956433166;-0,000183968040979636;-0,000343902683117195;0,000955501679912712
16;-0,0253629451778539;-0,0155869192857103;0,0771274672501471;-0,050697762149173;7,59630110964775E-05;-0,000130681722742231;0,000268419598436266;0,000385063065813103
17;-0,0411002958162784;-0,0380863807008849;0,0794560256678439;-0,0649990098402045;0,000165935201154898;-0,000231519286408272;0,000379005888802569;0,000358975159569887
18;-0,0100525348556261;-0,037287090064289;0,0242308490097689;0,0434051624390221;0,000172990817616302;-9,23526968083565E-05;-0,000187441019020095;0,000169889366558652
19;-0,0297664593813189;-0,0424393327118302;0,0619214600347842;0,0945772346204878;0,000155300594977471;-0,000212198248711362;-0,000354336578444654;0,000452968796422997
20;0,00392270404419592;-0,0359602825383355;0,0360193903720674;-0,0316152045906585;0,000174925750285262;-5,74909591524196E-05;0,000221999441051452;0,000100155758523635
21;0,00328247684594344;-0,0418212554003287;-0,0268955397389165;-0,0250804539193678;0,000192233038604129;-9,27371319832806E-05;4,12226912821617E-05;-0,000182244216743019
22;0,00350484007770165;-0,0351403534674242;0,00941839100421367;0,00296739896843092;0,000155171188620043;-9,03463537004423E-05;1,5708755531481E-05;4,77331877434185E-05
23;0,00387855246661249;-0,0272666944140486;-0,0348960063276406;-0,0581007347718362;0,000116822262391438;-7,77550162303978E-05;0,000102723670677166;-0,000328830518737686
24;0,0222438061251776;-0,0284551232207742;-0,010069743558256;0,0526438142026703;0,000180969292282948;-2,96743391321611E-05;-0,000219160821441205;0,000162300031866987
25;0,00103100842972231;-0,0218446473127683;-0,0171609357672913;-0,0474450441884311;7,09756326104734E-05;-8,59371051226477E-05;7,50199656368747E-05;-0,000245213005017872
26;0,0402123550773793;-0,0216473518796246;0,00634572029806048;0,0161678599406245;0,000231905008714684;1,17944599705688E-05;-1,52137919641128E-05;8,70263716169441E-05
27;-0,0023629063108103;-0,0131100752914594;-0,0472821761266986;-0,0457710909718654;1,76798040527793E-05;-6,56951463756859E-05;-0,000117048147649229;-0,000313412584758909
28;0,0321618489111608;-0,017937310109766;0,00423876712385448;-0,0413154442030965;0,000184828322344434;-3,08361091826826E-05;9,10242811043912E-05;-0,000190429532293512
29;-0,0101277957414067;-0,000534001106102974;-0,0445289652740108;-0,029363130201408;-4,95081628418133E-05;-1,53205402523819E-05;-0,00018348092422454;-0,000199666373959451
30;0,0230506263875785;-0,00168433741052119;-0,0562476494106963;0,00505248187725059;0,000116905459106875;8,40238079092227E-06;-0,000286851425751557;-1,58126802726852E-05
