X;Y
71;189
83;211
97;230
117;242
140;246
165;246
190;247
214;250
238;253
262;256
286;258
309;260
334;262
359;263
384;263
409;262
433;261
458;259
482;257
506;254
530;252
554;249
579;247
603;246
628;245
650;238
670;224
678;225
689;215
699;197
706;176
698;156
688;135
671;121
650;114
633;115
609;114
585;113
560;111
536;110
511;108
487;105
462;104
438;102
413;101
389;100
363;100
339;101
314;102
290;104
266;107
241;110
217;112
193;115
169;116
145;115
120;117
99;127
83;145
73;166
