n;a(n);b(n);c(n);d(n);Invariant of a(n);Invariant of b(n);Invariant of c(n);Invariant of d(n)
0;884,277520846475;n. def.;435,39802157311;n. def.;n. def.;n. def.;n. def.;n. def.
1;-229,118786838335;-17,1925154257944;-5,9796046257219;86,0749542389168;1;-1,54624805257234E-17;1,77818526045819E-16;-0,375520321434548
2;-0,0215261207810693;0,0916238348271511;-0,46823488746156;-0,0897138068535425;2,73644167941977E-05;-0,000408538228339694;0,00207356692344582;7,72036754060873E-05
3;-21,4303515285196;-4,97706257670501;-1,93269742140012;9,13874730606619;0,0957552688688716;0,000172989556081209;-0,00054078765478985;-0,040646677817259
4;-0,021489462125619;0,0565452056151637;0,0167543215278799;0,0312040232754017;1,60421933835172E-05;-0,000262539961421509;-0,000110107339742695;-0,000108475575253327
5;-6,13138830682176;-2,41589551058864;-2,30595332940594;5,36898768642161;0,0286805299325626;-4,43102040324534E-05;0,000746847398359342;-0,0254226983988972
6;0,00885963524789243;-0,00820654727251022;0,083081848448311;0,0528404602525466;-1,7916946097342E-05;4,91415065117867E-05;-0,00042591215617341;-4,7621247441381E-05
7;-1,95810036202859;-1,07971187121046;-1,9763271302136;3,32751049492519;0,00972825889485998;-0,00021924070065829;0,000112879663385149;-0,0168444778278456
8;0,0148401946057414;-0,0224826759794398;0,00161566823786444;-0,0210745200170209;2,58716971135504E-06;0,000117022397838565;4,65063469110752E-05;7,96577061513442E-05
9;-0,517482204151602;-0,366836331343423;-1,05918141128621;1,31593565988915;0,00275487013764968;-0,00016315228508731;-2,67370078275203E-05;-0,00735244819712797
10;0,0238424393518206;-0,0114073064265056;0,0255425123081194;0,0729702010973877;-4,04958212960908E-05;0,000107769202765622;-0,0002991736278312;-0,000153931392877666
11;-0,110739080697275;-0,0648143029759655;-0,288590461768622;0,198394787965002;0,000532292857608442;-0,000163690162907287;0,000205924889122104;-0,00151080788905305
12;0,0218164713855526;-0,0211675941910623;0,0875613446210235;-0,00696311435836482;1,49252072299248E-05;0,000130738692356883;-0,000210035364648151;0,000319724460615375
13;-0,0606811428243166;0,0025886268126018;0,19099492611478;-0,21717039176999;0,000135718741885299;-0,000229305936970248;0,000328942640131132;0,00121452241437898
14;0,0201101823976781;-0,0179955578604631;-0,0350883841247582;0,0415866994611754;2,5886064360963E-05;0,000115146088798645;-8,34600029935168E-05;-0,000221320929066115
15;-0,0634264264455344;-0,0115437858710945;0,203527330443293;-0,0858925175657911;0,000161674860683402;-0,000231706372452842;-3,26333747949626E-05;0,000960338052975243
16;0,0240599935475613;0,00482671697061366;-0,0215984614123468;0,00446943063735505;-5,63939114061452E-05;9,09517830939919E-05;1,45730549137753E-05;-9,46409257003851E-05
17;-0,0524140858086799;-0,0417642645088495;0,200984208151907;-0,0357716063550487;0,000238313246281974;-0,000170647122334714;-9,33809376824937E-05;0,000883098138094572
18;0,0207140907046521;-0,0015221237018433;0,0450606236986117;-0,0333332304499893;-1,22275292905995E-05;8,90625199464422E-05;0,000101802662596467;0,000221890422462425
19;-0,04579927736689;-0,0686576949796183;0,0426554564010529;-0,0157837877061777;0,000322105463689737;-0,000159227750532215;4,4738513064551E-05;0,000192623991932118
20;-0,00142663354662795;-0,0034432192915306;-0,0304950967257483;-0,105743684282702;1,4172438544929E-05;-5,12101898257914E-06;0,000466828454033827;-0,000107391921582569
21;-0,0297381742536836;-0,0780193128245603;-0,0163172952763308;0,0370924550448431;0,000337145175599627;-0,000136414475529719;-0,000162086792048168;-6,79198426013585E-05
22;-0,010617177793936;0,00324161835117403;-0,0137446738736012;0,0120318167780434;-1,83747883921145E-05;-4,44945099961396E-05;-5,79552377320727E-05;-5,45791839912105E-05
23;-0,0123654565662841;-0,0690649890565931;-0,0660720484483662;-0,0102298265888811;0,000286878947983598;-0,000103982641286679;-4,87596342202339E-06;-0,000291191104634405
24;-0,00477964118539157;0,00636528490619398;-0,0106209440400707;-0,000631957106313624;-3,1948640994158E-05;-1,32376342530338E-05;-8,78332062194115E-06;-4,55137576381381E-05
25;-0,00355581398540721;-0,0544927707312811;-0,0381707955014464;-0,00399009205741195;0,000219956658488839;-8,98616944369804E-05;-3,5954264966725E-05;-0,000163220345696121
26;-0,0113818558944317;0,0045311147706833;0,00203955037754208;0,00574702612903973;-3,74138017930612E-05;-3,79840155034301E-05;-1,96690954458422E-05;1,78279174118053E-05
27;0,00758554949110768;-0,0361050171906043;-0,0433591820981069;-0,00834751346221086;0,000154931254736928;-4,22115198560266E-05;-5,38021715126949E-05;-0,000184485704219305
28;-0,00584528090578741;0,00895489253331854;-0,0307758877270941;0,0510948446869602;-4,5897558642148E-05;-1,24014402494968E-06;-0,000259704209228931;2,50369827571203E-06
29;0,00646645917705519;-0,0183995890935778;-0,00599524679890969;-0,0251534905074611;8,1169056922362E-05;-2,40352798304577E-05;7,34892384820143E-05;-8,54631611605345E-05
30;0,00370635500086997;0,00825656490097029;0,024347063949734;0,018337363639382;-1,69904721109573E-05;3,5224900911618E-05;7,63223671229627E-06;0,000132522292060671
