X;Y
121;202
124;223
135;240
152;254
171;259
193;261
214;265
233;270
253;275
273;280
294;285
314;288
335;291
356;293
378;294
399;295
421;294
443;294
464;292
485;290
506;287
527;283
547;279
567;274
587;269
607;263
628;260
649;258
668;250
683;234
690;215
688;195
678;177
662;164
642;159
620;157
600;153
580;148
560;143
540;138
519;134
498;131
477;128
456;126
435;124
413;124
391;124
369;125
347;126
326;128
305;131
284;135
264;139
244;144
224;149
204;154
183;157
161;159
143;168
128;184
